function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K02029	28543.61	35219.71	54911.4	39125.82	76114.56	73786.14	84102	69275	92512	62348	85784	70661
K02030	31009.53	40017.43	58484.66	43896.4	78325.06	75731.73	86157	73208	94772	65887	87880	74672
K02031	9560.82	10516.48	18171.75	11558.62	30105.41	28944.05	32039	26949	35243	24254	32680	27488
K02032	20457.58	23761.6	40634.92	26755.63	64790.8	67137.01	72055	60211	79260	54190	73496	61415
K02033	19676.92	23522.7	40209.46	25567.37	59267.21	61674.76	65881	55719	72469	50147	67198	56833
K02034	20292.92	23870.93	41938.29	26203.86	59565.81	61863.13	66003	56000	72604	50400	67323	57120
K02035	23456.75	27322.06	45547.19	33547.74	71499.9	73467.31	79844	66760	87828	60084	81441	68095
K02036	8414.37	11297.32	12782.84	11560.9	16803.78	17056.31	17963	16793	19759	15114	18322	17129
K02037	8323.77	11179.61	12662.64	11109.55	16639.06	16858.59	17815	16387	19596	14748	18171	16715
K02038	8460.27	11347.61	12730.97	12157.7	16865.06	17206.76	18066	16848	19873	15163	18427	17185
K02039	6986.11	8562.61	9909.67	8874.73	10956.09	11341.02	11372	11325	12510	10193	11600	11552
K02040	11042.69	16470.19	18257.69	16188.32	24052.28	24221.13	26257	23746	28882	21371	26782	24221
K02041	2189.28	2214.21	4956.06	4365.03	2695.78	2684.6	3025	3508	3327	3158	3085	3578
K02042	2990.12	2836.06	5688.46	6599.43	4295.96	4408.05	4954	5659	5450	5093	5054	5772
K02043	656.76	1162.57	2019.7	1049.54	701.12	536.91	601	433	661	390	613	442
K02044	2986.41	2805.38	7111.22	5745.44	3780.55	3426.72	3676	4581	4043	4123	3749	4673
K02045	5684.83	6204.57	8117.3	6545.52	8684.32	8029.47	9217	8364	10139	7527	9402	8531
K02046	5750.62	6232.65	8279.54	6563.39	8873.37	8117.35	9258	8399	10184	7560	9444	8567
K02047	5749.62	6232.65	8279.54	6561.39	8874.37	8117.35	9258	8399	10184	7560	9444	8567
K02048	11992.23	12651.78	15758.62	13236.16	17231.97	16145.01	18475	16493	20323	14844	18845	16823
K02049	19435.52	22710.34	32213.59	21624.66	42107.07	40874.02	44806	38970	49286	35073	45702	39749
K02050	16749.88	19904.52	30020.55	19750.05	41001.39	39110.11	44196	37367	48615	33630	45080	38114
K02051	19215.4	23146.25	36208.96	24627	46907.86	44653.89	50866	43163	55952	38846	51883	44026
K02052	8876.9	11905.23	17046.09	15093.04	28497.17	26546.53	31191	25380	34311	22842	31815	25887
K02053	9041.77	12116.76	17274.59	15060.65	28346.98	26404.58	31220	25298	34342	22769	31844	25804
K02054	8520.46	11514.76	16469.22	14463.74	28111.49	26271.61	30884	25044	33972	22539	31501	25545
K02055	11125.06	15934.52	23010.07	18655.47	30896.36	28980.15	34339	28144	37773	25330	35026	28707
K02056	6621.12	6689.47	11487.27	8842.01	19395.49	20316.61	20585	17929	22644	16136	20997	18288
K02057	10692.22	10737.87	18211.42	14574.31	30590.54	32622.04	31956	28533	35151	25680	32595	29104
K02058	6490.82	6195.16	12016.55	7043.68	16802.76	16091.94	17399	15258	19138	13732	17746	15563
K02062	363.37	302.38	734.07	938.41	2024.73	3287.76	2186	2262	2405	2035	2230	2307
K02063	353.37	283.38	713.07	1003.41	2032.73	3291.26	2200	2249	2420	2024	2244	2294
K02064	355.37	309.38	740.07	1004.41	2032.73	3291.26	2200	2249	2420	2024	2244	2294
K02065	8774.36	12557.23	15303.05	11590.77	11540.07	10496.13	11708	12279	12879	11051	11942	12525
K02066	9743.55	13504.07	17627.3	12802.26	12272.27	10876.14	12190	13200	13408	11880	12433	13464
K02067	9595.72	12807.57	17259.45	12511.65	12113.62	10720.32	12143	12751	13358	11476	12386	13006
K02068	671.08	872.71	1314.7	1159.56	137.45	149.79	127	107	140	97	129	110
K02069	760.61	1128.38	1428.2	1336.59	208.46	187.49	203	198	224	178	208	202
K02071	10897.03	12986.17	15215.9	13134.48	17277.09	17888.91	19163	17093	21079	15384	19546	17435
K02072	10812.46	13258.9	16035.89	12503.36	17176.85	17681.69	19055	16927	20961	15234	19436	17265
K02073	18788.37	21340.79	29241.42	18597.34	25865.74	25133.18	27824	25612	30607	23051	28381	26124
K02074	2095.72	2911.45	4139.7	3001.61	6493.78	6184.34	7255	5639	7980	5075	7400	5752
K02075	2117.12	2919.33	4189.02	3071.42	6705.83	6272.96	7371	5764	8108	5188	7518	5879
K02076	412.9	235.67	244.65	699.07	74.62	32.08	32	204	35	183	33	208
K02077	2334.75	3210.67	4442.64	3625.03	6920.45	6380.17	7452	6137	8197	5523	7601	6260
K02078	15091.95	25174.26	25517.45	21095.46	33091.67	32987.32	36659	32440	40325	29196	37392	33089
K02079	19.66	14.74	6.13	8.14	7.87	9.24	3	5	3	5	3	5
K02080	10.62	10.75	41.88	44.79	2.67	6.62	9	13	10	12	9	14
K02081	387.35	1781.05	744.95	759.35	465.05	528.86	323	432	355	389	329	440
K02082	156.07	978.96	322.04	308.2	351.83	386.16	207	433	227	390	211	442
K02083	520.59	464.8	459.04	1087.49	171.71	146.34	97	321	106	289	98	327
K02086	416.92	256.88	265.6	702.52	101.18	36.05	50	215	55	193	51	219
K02092	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02093	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02094	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02095	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02096	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02097	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02099	167.16	144.55	289.79	461.67	48.91	83.25	41	104	45	94	42	107
K02100	46.19	99.46	113.89	243.56	42.79	63.82	22	40	25	36	23	40
K02103	175.05	51.17	123.5	184.57	21.75	24.08	14	189	16	170	15	193
K02106	3572.18	5281.51	5069.31	4223.84	7074.44	6749.01	7872	6550	8659	5895	8029	6681
K02107	4.33	2.33	1.5	34.33	0	6	3	182	4	164	4	186
K02108	7303.75	9446.37	10374.76	9572.4	11182.56	11614.08	11724	11565	12897	10408	11959	11796
K02109	7952.7	10171.03	11149.25	10622.81	11653.78	11902.23	11898	11895	13087	10706	12136	12133
K02110	7302.45	9442.7	10366.43	9593.82	11433.26	11743.78	11925	11687	13117	10518	12164	11921
K02111	7291.45	9433.03	10334.76	9547.3	11149.26	11604.78	11711	11545	12882	10390	11945	11776
K02112	7315.45	9454.37	10372.76	9953.8	11248.26	11762.78	11831	11715	13014	10543	12067	11949
K02113	7109.95	9375.53	10243.42	9330.12	11129.76	11580.94	11696	11528	12865	10375	11929	11759
K02114	7309.95	9495.2	10389.76	9672.3	11777.26	12530.78	12741	12298	14015	11068	12996	12544
K02115	7287.45	9454.03	10354.76	9548.8	11158.26	11622.78	11715	11545	12886	10390	11949	11776
K02116	4835.26	5724.23	7934.41	6595.64	8328.81	7646.24	8799	7881	9679	7093	8975	8039
K02117	53.66	268.91	114.75	84.66	81	24.58	12	396	14	356	13	404
K02118	53.66	268.91	114.75	84.66	81	24.58	12	396	14	356	13	404
K02119	36.66	148.91	45.5	60.66	61	16.33	12	379	14	341	13	386
K02120	53.66	268.91	108.75	84.66	81	24.58	12	396	14	356	13	404
K02121	9.33	16.58	67.75	6.33	10	19.58	7	353	8	318	8	360
K02122	52.66	253.91	57.5	78.66	79	17.33	12	380	14	342	13	387
K02123	53.66	268.91	114.75	84.66	81	24.58	12	396	14	356	13	404
K02124	53.66	268.91	114.75	84.66	81	24.58	12	396	14	356	13	404
K02137	17	32	19	30	3	1	2	29	3	27	3	30
K02160	8540.38	10751.78	11627.98	10962.31	15552.06	14014.69	16158	14194	17774	12774	16481	14478
K02164	304.32	327.85	712.98	535.06	556.72	406.15	566	434	622	391	577	443
K02167	4480.6	5340.07	5275.34	4736.2	7325.51	7057.64	8169	6743	8985	6069	8332	6878
K02168	9783.82	10720	9903.89	10566.6	10474.27	10784.69	12152	10544	13367	9489	12395	10755
K02169	5470.69	6924.23	7791.84	5862.27	8282.42	7692.94	8794	7885	9674	7096	8970	8043
K02170	4647.83	6330.81	5599.17	5237.2	7590.3	7272.35	8295	6959	9124	6263	8461	7098
K02171	156	48	93.25	150.25	20.5	7	15	15	16	14	15	16
K02172	148.5	61	87.25	138.75	16.5	9	19	10	21	9	19	11
K02173	4.58	23.33	20.33	7.39	6	20.12	3	1	3	1	3	2
K02182	199.35	220.14	237.6	543.04	368.39	222.91	266	331	293	298	272	337
K02183	1	0	0	1	2	0	0	1	0	1	0	2
K02184	19	32	40	34	3	1	2	29	3	27	3	30
K02188	1902.69	2422.44	2883.61	3159.18	6542.62	6264.95	7290	5999	8019	5400	7436	6119
K02189	2839.95	3607.89	6362.83	3959.43	7149.6	6624.05	7870	6650	8657	5985	8027	6783
K02190	17.43	36.64	31.58	11.75	11.92	28.22	3	15	3	13	3	15
K02191	71.43	134.64	84.83	161.25	55.42	46.47	31	45	34	40	31	46
K02192	4951.13	6735.73	6072.63	5454.64	7670.73	7437.35	8507	7226	9358	6504	8677	7371
K02193	3453.68	5231.49	7390.25	5156.94	7990.78	7304.21	8272	7464	9100	6718	8438	7614
K02194	3578.18	5890.49	7661.25	5515.93	8122.95	7457.55	8479	7614	9327	6852	8648	7766
K02195	3620.18	6009.49	7709.25	5531.43	8145.95	7459.55	8484	7666	9333	6899	8654	7819
K02196	2514.14	4421.49	5069.68	4192.72	7270.56	6937.06	7953	6478	8749	5831	8112	6608
K02197	3608.18	6003.49	7714.25	5530.43	8134.95	7457.55	8478	7661	9326	6895	8648	7814
K02198	3638.78	6027.87	7735.99	5550.1	8157.02	7469.87	8491	7675	9340	6908	8660	7829
K02199	3450.35	5174.49	7303.76	5129.62	7954.98	7291.56	8257	7428	9082	6685	8422	7576
K02200	6308.11	9509.85	13940.71	9429.18	15794.73	14489.94	16471	14343	18118	12909	16800	14630
K02201	14	30	11	34	32	1	4	34	5	31	5	35
K02203	4175.2	4916.18	4954	3508.18	6994.32	6653.58	7923	6113	8715	5501	8081	6235
K02204	5528.51	5996.13	7788.8	5770.06	8190.71	7419.84	8690	7696	9559	6926	8863	7850
K02205	133.7	134.77	154.9	488.07	327.9	362.33	451	676	496	608	460	689
K02217	895.65	1281.18	873.25	1617.79	363.83	492.05	595	392	654	353	607	400
K02221	6667.62	8040.2	9280.6	7823.24	10270.12	10679.37	10925	10271	12018	9244	11144	10477
K02224	3352.2	4134.39	6993.24	5021.76	7648.24	6971.3	8229	7305	9052	6575	8393	7451
K02225	2328.21	3137.25	4698.73	3662.52	7016.21	6590.7	7737	6226	8511	5603	7892	6350
K02226	4855.48	5562.81	7451.65	5427.19	8163.26	7651.02	8936	7751	9829	6976	9114	7906
K02227	4184.92	4952.45	9162.07	5721.64	8513.03	7409.42	8817	8132	9698	7319	8993	8294
K02228	2661.12	3300.74	6172.1	3273.14	6994.31	6517.25	7762	6437	8538	5793	7917	6565
K02229	2853.03	3427.74	6370.16	4279.01	7318.59	6801.75	7952	6657	8747	5991	8111	6790
K02230	3160.57	3723.41	6887.91	5728.81	7776.28	7348.13	8472	7390	9319	6651	8641	7538
K02231	5175.18	5744.14	7713.1	5774.61	8257.53	7562.31	8790	7801	9669	7021	8966	7957
K02232	3417.48	4334.2	7078.73	5148.22	7844.49	7041.92	8339	7332	9173	6599	8506	7479
K02233	5304.68	5860.14	7868.18	6041.43	8323.7	7597.81	8972	7900	9870	7110	9152	8058
K02234	2908.36	3588.41	6532.41	4298.92	7432.85	6902.58	8050	6793	8855	6113	8211	6928
K02236	405.8	150.63	255.85	681.27	82.18	19.3	41	206	45	185	42	210
K02237	5823.78	5932.95	8318.67	7193.43	9859.87	10519.72	10866	10232	11953	9209	11084	10437
K02238	7035.45	9258.67	10036.26	9133.47	10810.25	11382.95	11610	11192	12771	10072	11842	11415
K02239	12.5	19.5	41.25	9.75	7.5	1	12	16	13	15	12	17
K02240	413.92	256.88	232.6	699.52	102.18	36.05	48	209	53	188	49	213
K02241	3	9.67	0	5	1	6	2	11	3	10	3	12
K02242	414.25	259.21	229.1	700.85	100.18	34.05	42	205	46	184	43	209
K02243	401.92	151.88	220.6	678.52	84.18	35.05	48	206	53	185	49	210
K02244	414.92	256.88	240.6	700.52	101.18	34.05	42	203	46	183	43	207
K02245	413.92	256.88	232.6	699.52	101.18	35.05	42	202	46	182	43	206
K02246	394.62	143.88	218.6	674.45	70.18	31.05	40	199	44	179	41	203
K02247	3.5	0	3.25	0.75	0.5	0	1	1	1	1	1	2
K02248	21.45	35.38	80.6	48.95	38.26	23.05	23	186	25	167	23	189
K02249	6.5	0	3.25	0.75	7.5	0	8	2	9	2	8	3
K02250	462.33	158.5	220.9	988.64	69.12	9	35	29	39	26	36	29
K02251	0	7	0	1	2	3	2	4	3	4	3	5
K02253	0	0	0	0	2	2	0	2	0	2	0	3
K02254	8.5	10.5	3.25	6.75	7.5	1	12	5	13	5	12	6
K02255	18.48	47.96	31.38	141.01	14.79	28.33	5	6	6	5	5	6
K02258	3157.96	4046.14	6994.02	4199.34	7894.44	7105.91	8279	7148	9106	6433	8444	7291
K02259	4474.44	6730.06	9025.24	7137.97	10412.58	10691.9	10873	10501	11960	9451	11090	10711
K02274	5228.25	7955.31	10430.03	9231.27	11208.28	11306.59	11786	11355	12965	10219	12022	11582
K02275	5279.82	8073.73	10570.93	9149.55	11528.58	11498.75	11792	11471	12971	10324	12028	11700
K02276	5508.18	9330.53	11154.57	9358.47	11525.67	11648.3	12108	11491	13319	10342	12350	11721
K02277	339.17	484.84	533.06	857.69	182.94	122.47	90	481	99	433	92	491
K02278	4490.86	5629.93	9300.84	5621.4	13395.68	12558.8	14686	11663	16155	10496	14980	11896
K02279	4734.12	6731.24	9794.95	5800.48	13500.92	12680.29	14799	11828	16279	10646	15095	12065
K02280	4330.22	6380.42	9937.58	5151.46	13213.52	12450.28	14453	11421	15898	10279	14742	11649
K02281	1382.95	1514.5	2116	1238.09	5749.25	5381.17	6233	4678	6857	4211	6358	4772
K02282	4547.79	6492.32	9504.08	5459.31	13448.62	12548.93	14728	11634	16201	10470	15023	11866
K02283	5119.79	6983.16	11000.89	7357.88	16602.9	18091.55	18171	15787	19988	14208	18534	16102
K02284	49	83	50	119	15.5	25.5	24	8	27	8	25	9
K02285	49	83	50	119	15.5	25.5	24	8	27	8	25	9
K02286	21	5	1	24	2	1.5	2	0	3	0	3	0
K02287	21	5	1	23.5	1.5	1.5	2	0	3	0	3	0
K02288	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02289	49	83	50	118.5	15.5	25.5	24	8	27	8	25	9
K02290	99.5	166	100	237	31	51	50	16	55	15	51	17
K02291	2219.99	2704.01	4018.45	4601.82	1670.59	1101.46	1071	2092	1178	1883	1092	2134
K02292	18	5	1	23	1.5	1.5	2	0	3	0	3	0
K02293	49.75	84	50	118.75	15.5	25.5	24	8	27	8	25	9
K02294	64	109	50	125.5	19.5	28.5	26	16	29	15	27	17
K02297	5451.89	7816.98	7953.86	6634.14	8694.32	8076.26	9061	7850	9967	7065	9242	8007
K02298	5591.89	7853.98	8022.86	6366.64	8627.07	7931.76	8956	7695	9851	6926	9135	7849
K02299	5819.68	7892.72	8172.2	6594.58	8668.36	7954	8973	7778	9871	7000	9153	7933
K02300	5586.39	7832.98	8070.44	6350.06	8628.07	7926.76	8956	7688	9851	6919	9135	7842
K02302	5488.73	6936.16	7193.55	7562.39	10063.32	11099.97	11304	9972	12434	8975	11530	10172
K02303	3879.9	4561.68	8379.99	5573.96	3842.85	3301.5	3930	4252	4323	3827	4009	4337
K02304	792.58	637.4	649.91	1069.46	231.51	161.16	123	525	135	472	125	535
K02305	273.07	345.35	725.06	453.47	499.72	361.98	484	340	532	306	494	346
K02313	7417.78	9763.03	10520.75	9948.11	11309.43	11759.28	11829	11734	13012	10561	12066	11969
K02314	9424.68	12044.91	12534.95	11678.5	11814.89	12317.47	12373	12570	13610	11313	12620	12822
K02315	3056.46	2901.04	2419.79	2764.85	1006.65	998.4	1049	1140	1154	1026	1070	1163
K02316	7272.28	9519.03	10467.92	9468.45	11169.76	11616.44	11714	11548	12885	10393	11948	11779
K02317	105.98	85.96	80.88	333.3	19.29	56.33	16	12	17	10	16	12
K02319	14	30	11	34	32	1	4	34	5	31	5	35
K02322	14	30	11	34	32	1	4	34	5	31	5	35
K02323	14	30	11	34	32	1	4	34	5	31	5	35
K02334	3141.36	2985.01	6166.8	4594.48	3066.82	1921.94	1740	3430	1914	3087	1775	3498
K02335	7533.29	9699.45	11040.08	10725.58	13143.2	14966.09	14065	14101	15471	12691	14346	14383
K02336	2099.08	3253.35	4352.76	3597.78	6998.81	6641.24	7886	6320	8674	5688	8043	6447
K02337	7533.45	10384.19	10734.42	10408.28	11434.09	12050.11	12340	11942	13574	10748	12587	12180
K02338	7298.53	9545.36	10413.17	9581.04	11176.59	11621.94	11719	11581	12890	10423	11953	11812
K02339	5790.61	7253.98	8300.17	6425.31	8580.22	7890.65	8905	7982	9795	7184	9083	8142
K02340	7246.78	9481.36	10345.42	9443.45	11149.26	11570.94	11705	11508	12875	10357	11939	11738
K02341	7259.28	9480.36	10345.42	9436.45	11175.76	11584.94	11709	11534	12880	10381	11943	11765
K02342	10469.62	17035.07	22558.66	16238.08	28444.19	30784.34	31815	28220	34996	25398	32451	28784
K02343	7352.28	9565.36	10394.67	9943.62	11266.59	11755.44	11837	11764	13021	10588	12074	12000
K02344	145.4	181.88	123.91	424.14	35.29	66.13	22	17	25	15	23	17
K02345	148.15	127.21	150.45	461.53	29.97	82.41	23	15	25	14	23	16
K02346	7638.25	11162.11	11467.84	10760.96	13726.39	15918.33	15385	14771	16923	13294	15693	15066
K02347	855.31	1347.01	869.83	1819.02	455.76	295.16	348	702	383	632	355	716
K02348	3242.98	3926.91	6561.58	4729.79	7285.42	6774.65	8191	6723	9010	6051	8355	6857
K02351	235.1	1046.09	357.79	600.69	351.45	184.71	195	176	214	159	198	180
K02352	307.17	70	134.33	326.29	34.55	7.83	15	14	16	12	15	14
K02355	8937.83	13381.84	13115.92	13230.99	13922.83	15239.77	14075	15357	15483	13821	14357	15664
K02356	7486.26	10805.99	10857.16	10172.34	11521.22	12008.24	11918	11780	13110	10602	12157	12016
K02357	7255.28	9511.36	10348.42	9449.45	11165.76	11592.44	11710	11540	12881	10386	11944	11771
K02358	14661.57	19652.89	17085.33	15404.54	14057.83	13887.02	14026	15031	15429	13528	14307	15331
K02361	1782.24	1439.96	1010.99	1502.8	614.87	618.88	465	498	511	449	474	508
K02362	1940.27	3085.22	4179.98	3132.14	6661.94	6400.15	7630	6070	8393	5463	7782	6192
K02363	1654.27	1306.66	788.94	1355.82	542.26	460.64	310	345	341	310	317	352
K02364	179.32	171.96	278.41	556.56	377.79	369.96	207	200	228	180	211	204
K02371	474.14	559.04	526.75	847.22	320.31	290.02	442	401	486	361	451	409
K02372	7062.39	8829.69	9938.07	8583.11	9326.54	8462.2	9360	9432	10296	8489	9547	9621
K02377	920.28	2598.23	1452.61	1876.92	1134.08	703.81	781	1202	859	1082	797	1226
K02379	5712.65	5860.69	8481.44	7496.23	8432.44	7416.5	8886	8058	9774	7252	9064	8219
K02380	1083.25	784.1	2437.68	2165.9	1082.24	1058.34	1032	1696	1136	1526	1053	1730
K02381	218.61	81.86	104.71	286.35	24.33	15.4	24	215	27	193	25	219
K02383	1	0	0	1	0	2.5	0	13	0	12	0	14
K02385	136.18	178.92	267	584.82	700.5	1038	1142	1129	1256	1017	1165	1152
K02386	3500.77	4328.94	7287.92	5767.81	8062.92	7560.74	8574	7702	9432	6932	8746	7856
K02387	3821.28	4758.1	7928.23	6190.03	8856.96	8507.91	9667	8700	10633	7830	9860	8874
K02388	3878.25	4834.03	7936.9	6394.2	8936.62	8598.41	9714	8865	10685	7979	9908	9042
K02389	3804.25	4761.03	7881.9	6150.2	8908.62	8566.41	9674	8831	10641	7948	9867	9008
K02390	3860.58	4874.03	7976.9	6619.7	8953.29	8593.07	9715	8879	10686	7991	9909	9057
K02391	3576.27	4443.11	7457.08	5897.13	8186.09	7621.91	8592	7709	9451	6938	8764	7863
K02392	3980.43	5127.12	8144.89	6359.24	8337.79	7666.75	8687	8498	9556	7648	8861	8667
K02393	3654.77	4583.61	7648.75	5670.8	8174.59	7548.24	8555	7727	9410	6955	8726	7882
K02394	3649.27	4577.61	7604.08	5619.13	8168.09	7523.91	8527	7708	9380	6937	8698	7862
K02395	3201.1	4103.03	6853.22	5414.99	7870.64	7410.79	8461	7526	9307	6773	8630	7677
K02396	3739.75	4613.36	7737.57	6866.59	8963.62	8791.74	9813	9004	10794	8104	10009	9184
K02397	3561.05	4480.36	7491.74	5852.59	8682.45	8398.24	9565	8591	10521	7732	9756	8763
K02398	3128.83	4089.61	6858.43	4903.61	7715.78	7164.11	8342	7423	9176	6681	8509	7572
K02399	2207.04	3309.11	4505.42	3835.36	7004.5	6653.1	7892	6334	8681	5701	8050	6461
K02400	3956.21	4822.03	8001.56	6848.08	9063.79	8785.74	9817	9025	10799	8122	10013	9205
K02401	4027.55	5118.7	8064.07	6862.21	9113.42	8755.21	9820	9148	10802	8233	10016	9331
K02402	911.67	710.88	2171.91	1050.64	702.53	439.52	506	922	557	830	517	941
K02403	912.67	725.88	2180.91	1054.64	706.53	440.19	514	940	566	846	525	958
K02404	2964.27	3974.9	6880.84	4150.97	7637.42	7121.11	8283	7377	9112	6639	8449	7525
K02405	3837.15	5083.7	8125.65	6666.57	10461.99	11515.4	11740	11342	12914	10208	11975	11569
K02406	5639.08	7546.57	11930.55	9126	10727.24	10225.92	11245	10969	12369	9872	11469	11189
K02407	3381.62	4358.53	7329.74	5634.06	8526.16	8300.1	9522	8586	10474	7727	9712	8757
K02408	3825.08	4749.7	7867.49	6253.5	8897.45	8568.08	9681	8824	10649	7942	9874	9001
K02409	3799.75	4749.7	7851.07	6188.91	8892.62	8565.41	9681	8833	10649	7950	9874	9010
K02410	3734.25	4687.7	7802.07	6081.41	8798.62	8480.91	9597	8718	10556	7846	9789	8892
K02411	3473.54	4410.03	7451.25	5719.93	8588.98	8336.61	9527	8626	10479	7764	9717	8799
K02412	3841.75	4816.7	7872.07	6224.91	8947.62	8590.41	9713	8867	10684	7980	9907	9044
K02413	3044.95	4025.11	6883.23	4652.35	8292.21	8147.29	9359	8367	10295	7530	9546	8534
K02414	2933.7	3675.44	6663.76	4508.98	8276.03	8045.94	9321	7873	10253	7085	9507	8030
K02415	5593.05	7681.17	11816.75	8996.06	15313.76	14829.02	17154	14703	18869	13232	17497	14997
K02416	3767.25	4742.53	7852.01	6108.39	8827.05	8491.54	9599	8709	10558	7838	9791	8883
K02417	4005.7	4955.2	8048.32	6623.91	9013.62	8680.91	9723	8983	10695	8085	9917	9163
K02418	3126.62	4113.19	6934.9	4980.86	7726.79	7188.46	8373	7521	9211	6769	8541	7671
K02419	3886.75	4825.7	7940.07	6653.91	9021.62	8729.41	9807	9023	10787	8121	10003	9203
K02420	4004.75	5099.7	8008.07	6395.41	9013.62	8605.41	9709	8989	10680	8090	9903	9168
K02421	4016.75	5101.7	8015.82	6758.66	9098.12	8755.41	9819	9147	10801	8232	10015	9329
K02422	3353.11	4393.11	7217.63	5619.99	8477.73	8266.06	9486	8566	10434	7709	9675	8737
K02423	918.33	700.55	2210.91	1014.47	715.7	420.18	505	885	556	797	515	903
K02424	4346.59	5883.95	8768.74	5922.07	13619.05	12849.13	15294	12016	16824	10815	15600	12256
K02425	95.86	82.72	75.57	325.16	12.79	50.06	14	9	16	8	15	9
K02426	3302.15	5743.56	6057.5	5914.27	8430.82	8458.59	9505	7943	10455	7149	9695	8102
K02427	5919.19	7463.73	8435.33	6584.54	8677.69	7936.8	8930	8141	9823	7327	9109	8304
K02428	7920.99	10745.44	11641.92	10953.02	13218.98	14985.28	14235	13980	15658	12582	14520	14260
K02429	1345.05	4511	2967.27	2880.89	1541.13	1940.12	1657	1455	1822	1310	1690	1485
K02430	104.74	60.22	74.58	196.73	12.55	48.04	13	7	15	6	14	7
K02431	250.48	221.46	279.21	388.51	413.43	271.24	225	184	247	165	229	187
K02433	11905.27	15506.27	21975.47	15884.13	16073.39	15151.43	16433	16202	18076	14582	16762	16526
K02434	6912.6	7518.59	9781.15	8643.23	10769.47	11034.06	11353	11284	12488	10156	11580	11510
K02435	6933.6	7550.59	9778.15	8647.23	10788.47	11032.06	11348	11301	12483	10171	11575	11527
K02436	6.24	23.97	24.37	8.95	6.8	19.64	2	2	3	2	3	2
K02437	9146.3	12298.4	14398.87	12607.85	17749.11	17963.98	19326	17737	21258	15964	19712	18092
K02438	3334.7	4359.34	6641.05	7259.47	11484.28	13737.95	12928	11848	14220	10663	13186	12085
K02439	2073.92	3173.35	4261.96	3453.78	6618.97	6442.24	7623	6092	8385	5483	7775	6214
K02440	2834.24	4228.67	5588.33	5096.09	8752.36	9807.94	10214	8887	11235	7998	10418	9065
K02441	2074.08	3239.02	4367.26	3165.62	6627.14	6449.24	7622	6091	8385	5482	7775	6212
K02442	3333.53	3833.8	4590.85	2400.05	6743.7	6390.45	7535	5827	8289	5245	7686	5944
K02443	516.85	274.75	470.71	745.73	71.58	17.94	62	46	68	41	63	47
K02444	3648.95	5053.82	8628.42	4891.05	8489.14	7815.47	9111	7619	10022	6857	9294	7771
K02445	2471.79	3749.48	5906.6	3679.22	6695.87	6396.2	7619	6215	8381	5593	7772	6339
K02446	693.6	834.46	708.32	1900.28	349.67	253.13	271	589	299	530	277	601
K02448	264.57	341.02	741.06	462.47	489.72	361.98	475	341	523	307	485	347
K02450	336.52	616.23	294.11	587.73	142.17	180.96	157	403	173	363	161	411
K02451	209.02	400.73	211.82	320.46	87.8	121.12	126	275	139	247	129	280
K02452	5556.07	6651.5	7979.18	5569.9	7738.63	7215.72	8469	7257	9316	6531	8639	7402
K02453	7785.66	10255.79	12420.47	9495.34	15019.12	14246.93	16424	14597	18066	13138	16753	14889
K02454	13071.64	17321.09	20405.94	14014.86	23359.63	21727.49	25234	22348	27758	20113	25739	22795
K02455	7796.93	10565.88	12772.8	9030.72	15195.33	14244.16	16573	14470	18231	13023	16905	14759
K02456	10616.96	13663.81	15143.61	11628.71	16762.82	15634.13	18185	16966	20003	15269	18549	17305
K02457	4800.56	7606.18	10938.83	5933.98	13765.25	12934.86	15261	12231	16787	11008	15566	12476
K02458	7156.51	9768.81	11894.9	7203.67	14306.78	13497.17	15784	12923	17363	11630	16100	13181
K02459	7142.01	9710.31	11835.9	7232.84	14290.28	13447.17	15750	12798	17325	11518	16065	13054
K02460	7161.31	9797.81	11970.4	7258.14	14314.08	13483.97	15785	12881	17364	11593	16101	13138
K02461	7167.06	9721.56	11863.4	7687.39	14363.58	13583.97	15854	12892	17439	11603	16171	13150
K02462	5466.02	7417.95	9073.01	4777.1	7933.82	7344.33	8586	7049	9444	6344	8757	7190
K02463	5479.97	7872.69	8073.75	4491.24	12916.03	12100.29	14003	11156	15404	10041	14283	11379
K02464	25	1.25	33.04	59.17	1.63	5.95	4	1	5	1	5	1
K02465	5	6.75	2.91	3.22	2	2.92	2	2	2	2	2	2
K02466	69.14	70.96	50.37	171.56	34.09	41.43	13	172	15	155	14	175
K02467	21.34	46.96	27.87	19.96	16.79	31.13	6	7	7	6	6	7
K02468	23.51	56.46	28.7	31.63	17.8	32.63	7	7	7	6	7	7
K02469	7562.9	9828.45	11101.57	10543	13114.87	14935.26	13990	14060	15389	12654	14270	14342
K02470	7484.9	9744.45	11068.57	10030.15	13026.2	14765.43	13850	13906	15235	12516	14127	14185
K02471	3403.02	5342.42	6134.77	4577.92	12616.02	11863.2	13986	11016	15385	9914	14266	11236
