function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K00027	4658.67	4468.4	3919.53	5202.53	8152.83	9175.87	9082	8326	9990	7494	9263	8493
K00029	7186.06	9148.59	11306.05	8124.81	9844.65	8764.33	9885	9305	10873	8374	10083	9491
K00030	313.69	1657.98	544.59	603.19	531.14	427.16	302	483	332	435	308	493
K00031	11744.01	14519.05	17325.19	14314.22	19012.66	18955.33	20451	18970	22497	17073	20860	19349
K00032	1349.84	2347.19	3256.15	2945.17	1360.26	1357.13	1757	1723	1933	1551	1792	1757
K00033	4046.54	6634.27	7569.06	8465.42	11884.02	14170.03	13199	12820	14519	11538	13463	13077
K00034	1215.56	2495.24	2917.01	1820.06	870.6	856.33	1089	925	1198	833	1111	944
K00035	243.55	162.5	163.83	525.02	268.47	215.29	166	150	183	135	170	153
K00036	6468.39	10576.97	12158.77	12651.52	17401.53	18074.77	19561	17798	21517	16019	19952	18154
K00038	255.75	164.58	306.59	1259.35	814.63	1852.34	745	1401	819	1261	760	1429
K00039	131.45	169.24	103.34	649.9	209.67	237.4	193	243	212	219	196	248
K00040	450.46	376.69	647.27	1442.9	1464.29	1702.85	1671	1563	1838	1407	1705	1595
K00041	324.18	981.32	524.99	913.82	846.77	1280.71	1285	1179	1414	1061	1311	1203
K00042	2711.73	3223.86	5483.08	4681.76	2799.76	2143.81	2644	3200	2908	2880	2696	3264
K00043	24	24	70	40	10	31	14	24	16	22	15	24
K00045	1966.24	2786.5	4160.76	2827.19	6501.58	6251.76	7374	5681	8111	5113	7521	5795
K00046	1653.7	1881.05	4166.33	2486.93	2677.19	2199.11	2365	2953	2602	2658	2413	3012
K00048	33.43	34.72	76.87	55.88	13.92	40.92	10	180	11	162	10	183
K00050	2345.55	3022.03	5331.71	3548.87	2345.28	1747.13	2097	2665	2307	2399	2139	2719
K00051	0	0	16	0	0	0	0	0	0	0	0	0
K00052	7259.48	9497.11	10273.76	9624.32	11225.09	11614.36	11791	11610	12970	10449	12027	11842
K00053	7205.32	9381.95	10327.76	9728.4	11199.96	11682.71	11802	11630	12982	10467	12038	11863
K00054	531.66	485.88	561.61	935.22	291.35	268.06	294	555	324	500	300	566
K00055	128.28	107.64	227.8	617.94	365.75	354.37	206	262	227	236	210	267
