function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m	S17_S16	S17_m	S18_S16	S18_m
K00023	14101	1175	2329	947	2714	557	7094	669	7535	696	3798	547	2444	1661	5431	930	2886	1276	2898	925	4244	885	2085	530	1714	1609	4222	771	937	1130	3365	1957	1811	1777	2323	321
K00024	23758	3368	6217	3436	13240	2862	12349	1322	19390	2106	24978	1940	18170	4424	8817	2283	7688	4339	10846	5718	10587	4339	12608	2668	5646	5070	26089	1533	14409	4863	7244	3695	7118	2794	20666	2441
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	4222	1218	6872	818	7643	535	4260	340	9834	467	6187	461	6543	1803	432	2501	707	1426	2646	760	4285	1161	11196	1361	2706	1333	13270	470	3887	2144	1149	850	3549	1168	4309	495
K00029	39074	4487	6476	4062	17113	3321	19426	2179	29532	2446	29191	2539	13623	6629	14415	2669	10771	5809	11434	4873	19155	6249	6072	1859	4391	7288	33657	1568	16071	6140	10760	3882	7764	5989	4660	1420
K00030	587	4	1663	10	31	9	67	9	602	9	34	3	911	210	10	582	16	51	784	216	71	38	743	91	486	15	29	169	31	27	29	408	668	12	420	75
K00031	49545	5682	9456	5334	25026	4453	19842	2991	44160	3353	46983	3044	20816	8351	18070	4372	11846	7479	14960	5653	27474	9378	14678	2870	7788	8974	48639	1922	26944	8997	13525	4615	10468	8478	8276	2057
K00032	2824	281	690	248	1587	139	1084	756	5444	434	391	158	3700	413	3048	517	1030	330	660	26	3421	1062	411	147	810	575	3751	44	725	587	2427	23	1926	35	195	59
K00033	8017	2369	4859	1522	9728	774	10441	1475	9030	1657	5523	1159	29749	2795	4361	2715	3491	1233	12261	9609	8228	3211	29110	4025	6145	1970	14822	963	6233	2365	6470	2171	9815	2782	36687	3481
K00034	5757	1425	1225	796	5270	1258	2953	760	6884	806	4747	1030	7386	1544	2937	799	4789	1827	5364	3257	6146	2637	734	753	2394	3124	18914	336	4671	1355	3121	598	4147	286	955	367
K00035	2123	326	599	166	1661	115	5203	230	197	143	681	105	4753	716	318	73	161	17	1587	240	1695	290	660	415	416	218	1333	188	248	240	1068	261	2948	266	279	232
K00036	23027	3432	6955	2289	12213	1236	13367	2314	18102	2084	8839	1759	26436	4575	9590	3707	6078	2190	14065	8757	16579	4879	31336	3727	7350	4224	21286	1555	7490	3445	9971	3616	12399	7028	21572	2326
K00038	4	13	795	72	14	25	309	128	380	275	21	7	5646	8	194	405	46	3	776	623	0	1	6926	1003	638	1	20	103	14	11	498	209	1514	32	5998	569
K00039	914	742	190	452	1901	122	5173	204	338	318	36	248	81	706	353	107	330	82	601	134	150	55	67	116	42	1205	3008	69	34	332	1125	226	94	484	329	58
K00040	1883	1597	1567	804	6002	502	8881	428	1213	530	418	641	5201	1185	714	1452	793	244	1957	583	1285	250	10830	956	776	1923	16254	211	1743	629	1906	316	2455	1378	3253	449
K00041	6416	2139	490	1611	9112	1144	6963	708	2486	1176	16890	1263	585	1825	5856	639	3061	783	2635	616	5945	2900	2342	573	1294	1628	16215	164	12660	1779	3820	445	320	1216	586	519
K00042	15371	2497	4236	1627	8783	1109	13620	1559	9108	1449	2823	857	12250	2392	6066	2079	2998	1189	4428	1596	6794	1787	22498	2056	2850	3324	16542	821	2657	1484	6272	1766	5534	4422	8570	1015
K00043	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	5	6	16	0	0	14	0	0	0	53	6	0	193	1
K00045	3455	679	1495	494	3493	275	6383	1024	5766	533	1100	430	10672	1323	4281	620	1812	367	1583	673	4999	1270	1667	1032	1631	906	5589	181	1112	929	3692	425	3916	383	6232	650
K00046	25648	3407	1957	1903	14113	1321	26048	1651	6915	1501	7755	1639	8071	2855	7522	910	5629	1697	4216	1854	8869	2594	9752	1636	2046	3189	19750	622	5839	2083	7792	1534	2590	3367	8050	1047
K00048	614	421	39	354	2035	86	1736	97	97	72	181	195	5611	279	115	12	123	18	81	883	566	94	5650	640	967	357	6566	13	728	146	275	13	229	458	14034	1020
K00050	15004	1520	1763	1048	5154	722	7129	1290	11424	982	3603	703	8388	1933	6265	652	3111	1642	2621	620	7165	1784	1244	689	1529	2150	7933	609	1694	1312	5618	1507	4592	3452	1752	381
K00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	97	0
K00052	27487	4015	6939	3333	16494	2236	13969	1974	23180	2229	26276	1925	16396	5201	11210	3087	6612	3534	11182	5216	16656	5928	13094	2461	5025	4217	17848	1575	15848	5296	9657	3743	8527	4490	7070	1574
K00053	24381	3790	6921	3129	15009	2074	14041	1803	22569	2109	25821	1838	16160	4979	10508	3201	6561	3464	11460	5088	15327	5515	13102	2442	5021	4062	17684	1545	15467	5472	8710	3621	8526	4440	6859	1523
