function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m	S17_S16	S17_m	S18_S16	S18_m
K02313	26684	3644	7609	3383	14816	2957	13441	1800	24404	2145	25819	2096	21926	5374	10507	3125	8627	4728	11629	5918	15329	5540	18908	3119	6835	5814	29837	1626	15443	5517	8665	3905	8778	4487	21255	2563
K02314	32021	4084	9369	4415	16890	3319	15685	1910	35907	2275	32090	2320	26132	6658	10773	4442	8760	6077	12779	5980	22676	7724	21086	3272	7828	6547	37419	1693	18713	6201	8959	3917	10941	5060	21456	2640
K02315	5915	1177	2372	594	4278	412	3974	195	7560	167	5397	450	388	988	225	1152	245	1031	867	77	2607	967	2733	96	516	967	13159	150	3097	2026	580	232	461	1074	463	64
K02316	26820	3644	7644	3628	14825	2963	13441	1798	24416	2145	25819	2096	23785	5429	10506	3218	8623	4728	11483	6100	15329	5540	19148	3292	6868	5813	29833	1613	15443	5518	8662	3854	8679	4492	23837	2759
K02317	614	421	174	148	2031	85	1730	97	96	72	177	195	91	237	107	295	122	15	29	36	566	94	1850	28	0	357	6566	6	728	146	278	3	144	428	2	18
K02319	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	4	0	0	2	2	0	0	0	0
K02322	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	3	0	0	2	1	0	0	0	0
K02323	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	3	0	0	2	1	0	0	0	0
K02334	22910	2252	3075	1471	4974	682	13462	845	6334	1097	3480	905	9249	2673	4907	537	3711	1277	4401	876	5911	778	3404	1072	2860	2883	7741	1503	914	1925	4846	3747	5792	2833	3242	512
K02335	27077	3656	8898	3592	14822	3012	13518	2096	25543	2608	26155	2100	39159	5387	11938	3596	8765	4775	12720	8066	15587	5612	27727	5440	8204	5819	29888	1753	15645	5530	9769	4134	11951	4537	41015	4315
K02336	4966	1140	2534	938	3914	254	3262	907	7433	822	2226	504	4429	1851	3585	1150	1560	815	1284	133	5984	1692	2533	360	989	2263	11976	99	2403	1018	3208	200	2450	2817	373	179
K02337	43212	6238	7879	6307	26798	7082	25289	2564	30755	3471	66522	4387	22859	8351	20181	3573	16877	8066	24666	12155	25356	10400	19860	3971	8046	11182	71556	1708	41768	8508	12982	4207	9043	5959	22191	3813
K02338	26684	3919	7612	3433	15930	3018	13579	1926	24406	2170	25819	2099	21894	5382	10659	3131	8644	4728	11461	5905	15329	5540	18903	3039	6825	5814	29849	1639	15445	5524	9318	3858	8779	4494	21167	2544
K02339	19439	2250	5148	1547	9863	1091	10571	1297	20447	1099	9524	970	10260	3563	6257	2404	4008	2800	4216	892	10827	2893	4687	951	2342	3127	14600	921	4398	3704	5486	2206	6056	4106	2395	527
K02340	26823	3635	7642	3384	14810	2956	13360	1773	24492	2145	25817	2096	23604	5358	10477	3429	8624	4749	11572	6090	15333	5541	18965	3288	6744	5798	29827	1593	15446	5511	8541	3746	8712	4486	23801	2762
K02341	26820	3636	7626	3384	14810	2956	13366	1775	24399	2145	25817	2096	23647	5358	10477	3217	8624	4728	11472	6093	15329	5540	19059	3283	6841	5800	29831	1607	15443	5511	8541	3839	8740	4486	23836	2759
K02342	68163	8294	13322	9822	31854	9400	30603	4894	41810	6386	94859	5984	49754	14229	36150	5619	23640	9886	32709	16233	45136	16430	35518	7373	14069	14835	78391	2642	59833	11004	23925	6647	18386	10537	48691	7039
K02343	28570	3686	7662	3649	14792	3934	13474	1749	22784	2177	23611	2410	23822	5689	9289	3224	10992	5456	11482	6123	14002	5211	18909	3281	6946	7809	44854	1627	15253	5888	8175	3873	8779	4334	24043	2750
K02344	753	421	1462	148	2031	85	1730	97	752	72	222	195	109	237	107	641	123	181	215	38	683	146	2000	47	5	357	6566	14	982	146	280	17	233	429	30	23
K02345	1293	421	267	148	2031	86	1730	97	842	72	262	195	93	238	107	510	123	199	69	36	790	186	1850	39	2	357	6566	8	992	146	282	19	146	428	10	23
K02346	39958	5351	8212	5794	22727	6054	21604	2408	28442	3341	66186	3656	31664	7315	19958	3896	13753	6709	25606	12981	24225	10179	27511	5116	8740	8706	46283	1747	40090	7471	12563	4195	11689	5116	30652	4588
K02347	1345	177	656	729	833	662	989	223	435	505	11844	262	4656	697	2927	238	1260	287	2507	313	1768	793	1059	615	1516	150	26	323	6783	863	1504	703	2224	74	765	408
K02348	23110	2581	3452	2392	9326	2281	6524	1346	13313	1597	19736	1829	8268	4149	9625	1716	7093	3149	7369	3897	13428	4398	4080	1222	2933	5193	27858	486	12970	3070	6449	1239	3204	3273	5420	1031
K02351	0	344	351	29	1693	87	5054	169	40	34	1	106	939	192	338	37	410	8	605	178	0	1	672	221	410	69	1403	147	6	175	810	246	407	276	284	64
K02352	204	1	36	1	0	1	0	1	96	1	19	1	1841	1	0	8	0	16	39	198	56	21	230	259	56	1	21	7	7	1	1	4	35	6	2734	220
K02355	31719	4158	9389	4687	15180	4171	14290	2024	28760	2656	27095	2574	24377	7028	12227	4209	12362	6617	13471	6414	15989	5953	28454	3606	9407	9180	46682	2457	16012	6325	9809	6045	10412	6880	22901	2813
K02356	28156	4144	8069	3684	17184	3098	15697	1991	25584	2242	26074	2551	22732	5858	11590	4061	9781	4918	12259	6172	16073	5722	21028	3426	7180	6290	36939	1742	16472	6072	9436	4176	9310	4982	21503	2654
K02357	26820	3644	7626	3391	14816	2957	13441	1798	24404	2145	25819	2096	21872	5376	10506	3211	8627	4728	11459	5903	15329	5540	18860	3042	6841	5813	29833	1617	15443	5517	8662	3857	8736	4487	21153	2540
K02358	44924	6988	13091	5779	32129	4393	25884	3126	39494	3488	32726	3389	25442	9487	16424	5205	13761	6713	14806	6742	20576	7387	21064	3741	8461	10337	45407	2549	19415	12215	14226	6552	10930	8728	24054	2975
K02361	7167	1719	1943	1328	6269	1372	4414	408	3974	875	4590	1074	2358	1402	1835	819	4000	1752	5364	3531	3346	1962	2411	322	1447	2914	21885	146	4923	1178	2226	400	1445	2343	966	427
K02362	3677	701	1882	369	3624	228	2950	711	5083	379	965	354	4150	1216	2007	651	1079	341	862	101	5307	1293	524	260	817	1112	10426	55	1622	798	2251	58	2145	2102	202	106
K02363	1186	434	1667	242	2054	174	1927	231	1097	363	201	207	1629	261	377	719	350	162	1073	439	626	110	2319	198	200	378	6786	59	773	147	801	124	1239	461	399	164
K02364	1344	423	337	164	2036	117	1875	104	322	83	200	203	657	257	125	575	129	58	630	285	610	109	1945	96	109	374	6692	38	747	146	306	70	436	443	74	93
K02371	6945	1673	1435	1424	4525	1216	2353	276	3195	597	4428	1105	1448	1648	1257	427	3791	1686	4783	3133	2881	1908	963	549	1616	3676	16834	508	4173	1409	2344	1248	730	466	1245	333
K02372	30028	3944	6664	3040	16952	3064	18991	1803	24850	1937	26236	2274	11949	5788	11215	2980	8967	4859	11332	4297	16773	6005	6234	1593	4511	5973	31152	1432	15790	5859	8700	3469	6818	4767	3607	1192
K02377	6704	1521	1920	1878	5393	1002	8582	600	10972	1085	12714	947	10353	2050	3998	1293	2513	1032	4469	800	9886	3183	1574	1251	2770	2033	11791	685	9197	1834	3387	1585	5533	1069	1582	677
K02379	16810	2188	7024	1687	9834	1031	10685	1467	14899	1433	4969	981	13205	3837	7812	2679	4602	2203	8286	4765	9688	2338	12158	1909	4789	3043	14694	1044	3228	3813	6095	2390	6243	4009	8890	1109
K02380	13045	429	623	340	2077	165	1816	236	2743	232	1423	202	192	574	1598	439	514	516	340	111	3202	543	1904	80	106	366	6594	80	1589	607	749	322	198	2898	700	107
K02381	136	0	63	1	0	0	0	1	0	0	0	0	232	0	0	103	0	10	67	10	0	0	406	66	333	0	0	20	0	0	0	52	174	1	72	10
K02383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
K02385	0	0	1014	8	0	1	7	1	204	0	21	0	888	4	0	405	0	1	519	102	0	0	6804	249	628	0	0	139	14	0	1	256	496	3	426	41
K02386	16047	2294	4330	1424	8295	563	11557	1473	9237	1230	2734	1088	10074	2990	6328	2172	3367	1040	3852	871	8821	1913	4032	997	2420	2912	21087	861	3556	1953	5638	2132	6202	5803	2358	484
K02387	17621	2311	5551	1630	8326	875	11809	1700	13811	1383	5245	1096	11028	3358	8739	2605	4015	1867	4447	973	10404	2342	11028	1287	3073	3096	21110	1080	3829	2132	6756	2550	6706	4340	3008	551
K02388	16047	2610	5618	1504	9946	810	16320	1670	9472	1263	2757	1177	11066	3156	6579	2614	3469	1066	4884	1057	8821	1914	10872	1342	3099	2963	22284	1107	3576	2120	6555	2639	6751	6034	2908	558
K02389	17295	2310	5518	1518	8325	855	11806	1562	13351	1253	4965	1096	11024	3348	7581	2604	3929	1859	4445	982	10148	2273	10971	1286	3070	3091	21107	1072	3760	2119	6359	2617	6706	5966	2849	551
K02390	17861	2582	5773	1613	9435	745	11800	1689	13345	1310	5641	1096	15182	3914	7727	2653	3946	1815	4992	990	11724	2478	11209	1456	3799	3263	21119	1140	3999	2196	7061	2750	8681	5974	2976	618
K02391	16047	2293	4353	1430	8274	742	11512	1473	9237	1236	2734	1088	10069	2990	6335	2172	3358	1063	3898	870	8821	1913	4041	1013	2395	2912	21075	875	3556	1953	5638	2184	6214	4167	2369	481
K02392	17295	2320	5391	1573	8331	876	11897	1609	13161	1298	4948	1097	15386	3394	7616	2268	3932	1860	5018	906	10150	2274	5112	1272	3810	3116	21115	1273	3757	2136	6507	2913	8706	7606	3027	572
K02393	17295	2302	4541	1489	8319	854	11721	1539	13142	1253	4942	1095	10185	3328	7552	2413	3926	1857	3922	883	10148	2273	4249	1041	2453	3078	21105	994	3746	2113	6183	2640	6241	5962	3009	516
K02394	17295	2310	4320	1493	8325	855	11790	1559	13139	1253	4944	1096	10174	3345	7581	2193	3929	1857	3911	870	10148	2273	4176	1026	2333	3089	21103	947	3746	2119	6356	2371	6131	5964	2347	510
K02395	17614	1582	3965	2033	6051	569	5431	1335	13436	1199	5210	714	5811	2812	7339	2129	2747	1815	2231	686	10400	2329	3798	576	1861	2815	18794	637	3744	1385	4858	1530	3527	3808	1979	314
K02396	17295	2308	5492	1484	8304	677	11761	1562	13351	1247	4965	1095	11058	3325	7574	2586	3920	1837	4880	970	10148	2273	11038	1302	3048	3081	21091	1055	3760	2109	6356	2491	6723	4330	2715	547
K02397	17284	2306	5390	1491	8304	842	11740	1532	13308	1195	4965	1095	8811	3326	7512	2580	3905	1857	4175	959	10146	2273	10988	1178	2932	3080	21071	1021	3760	2108	6137	2235	5381	4321	2750	492
K02398	15990	1580	5053	1218	5999	393	5334	1166	9024	1047	2721	706	6110	2345	4981	2122	2107	1003	2446	630	8816	1900	3810	638	1834	2659	18679	691	3485	1228	3994	1501	3541	3616	2035	281
K02399	4778	1135	4375	721	5670	343	4613	1094	6736	722	1707	551	4896	1457	4484	1749	1543	531	1396	123	6394	1532	3104	446	1348	1472	16981	242	2735	969	3449	576	2956	2547	804	130
K02400	16047	2303	5613	1486	8305	770	11636	1511	9455	1241	2759	1092	11132	3039	6375	2827	3374	1072	4469	1058	8822	1918	12632	1310	2960	2943	21189	1102	3571	1970	5827	2697	6749	5821	2828	544
K02401	16047	2303	6557	1474	8301	743	11642	1513	9446	1236	2757	1090	11103	3034	6364	2608	3370	1065	4500	983	8821	1916	11062	1286	3100	2936	21093	1134	3570	1970	5820	2761	6768	5807	2955	525
K02402	12798	867	745	780	2387	278	2347	332	6242	553	3627	357	590	1183	2950	460	1354	1260	414	388	4451	832	2396	143	362	1665	8330	301	1707	513	1632	594	460	1662	1239	140
K02403	12798	867	871	780	2387	278	2353	334	6250	553	3627	357	651	1183	2950	461	1354	1260	449	401	4451	832	2487	147	497	1667	8338	312	1707	513	1632	603	577	1662	1281	141
K02404	14653	722	3161	841	1928	205	1572	806	7346	774	2037	314	5629	1803	3521	1435	1635	692	2066	585	7311	1583	1319	456	1482	1910	5504	558	1468	898	2918	1427	3048	2741	1838	244
K02405	17288	1591	5308	1294	6065	685	5558	1235	13133	1070	4950	713	7093	2687	6205	2611	2682	1822	2999	763	10143	2259	11012	928	2834	2826	18709	1000	3689	1389	4592	2602	4411	5415	2764	360
K02406	31791	5233	10529	2884	18669	1790	48192	2958	22759	2254	9771	2030	11054	6696	13259	3708	6787	3694	10225	2376	14871	3496	17292	2137	4151	5860	32841	1734	5647	4606	13043	4039	6975	7906	5446	1055
K02407	17614	1590	5597	1408	6028	705	5528	1363	13612	1201	5231	713	6981	2672	7367	2575	2746	1833	2953	778	10399	2328	10914	924	2855	2824	18707	871	3757	1389	5092	2069	4436	3794	2670	352
K02408	17295	2310	5558	1528	8329	855	11806	1571	13351	1253	4965	1096	11086	3349	7581	2606	3929	1859	4457	983	10148	2275	11067	1293	3121	3091	21107	1100	3760	2121	6321	2606	6734	5966	2854	551
K02409	16047	2303	5612	1478	8301	743	11642	1513	9446	1236	2757	1090	11130	3031	6364	2608	3370	1065	4460	982	8821	1916	10939	1284	3141	2936	21093	1076	3570	1970	5820	2592	6729	5806	2851	525
K02410	17295	2309	5507	1527	8304	855	11761	1562	13351	1253	4965	1096	11061	3351	7581	2597	3920	1859	4447	971	10148	2276	11026	1290	3071	3091	21095	1084	3760	2119	6307	2585	6746	4331	2845	548
K02411	16008	1868	5071	1411	6477	462	6667	1282	9289	1124	2749	884	9040	2659	5993	2572	3134	1009	3623	741	8818	1907	10426	1076	2710	2786	19307	915	3547	1715	4696	2238	5488	3719	2557	385
K02412	16047	2303	5406	1478	8301	743	11636	1511	9438	1236	2757	1090	10984	3034	6364	2608	3370	1065	4435	970	8821	1916	10772	1278	2959	2934	21089	1083	3570	1970	5820	2648	6605	5807	2809	525
K02413	16448	1158	4164	1016	3988	404	3595	978	12027	863	4470	515	6112	2414	4927	2205	2450	1630	2466	677	9260	2067	9696	691	1839	2456	12129	532	2644	1215	3751	1238	3542	3339	1957	329
K02414	15989	1565	3868	1211	5989	392	5065	1142	9027	1046	2719	703	5878	2122	4946	2114	2084	1001	2418	687	8816	1899	3458	613	1686	2641	18681	366	3484	1189	3860	955	3367	3615	1884	278
K02415	20361	2597	6783	1734	9893	947	12937	2198	18208	1551	5729	1252	14843	4529	9487	3031	4872	2191	5024	860	14891	3470	5379	1346	3641	3845	24746	1024	4642	2804	8402	2457	8767	5979	2813	583
K02416	16047	2302	6446	1454	8280	743	11596	1512	9445	1236	2757	1090	10947	3032	6364	2575	3361	1065	4469	968	8821	1916	10980	1275	3029	2936	21081	1059	3570	1969	5816	2508	6696	4170	2808	521
K02417	17311	2508	6810	1550	8518	868	12628	1597	13411	1316	4972	1096	13538	3456	7650	2633	4279	1864	5298	1002	10150	2281	11340	1492	3330	3094	21127	1183	3784	2492	6575	2857	8320	5976	3090	609
K02418	14632	919	4407	560	3913	442	3983	884	7733	570	2252	360	6304	1476	3624	2249	2148	801	3035	730	7840	1682	9850	798	2209	1140	10463	748	2459	1248	2953	1673	3944	2945	2266	306
K02419	17295	2310	6578	1505	8325	855	11803	1562	13351	1253	4965	1096	11085	3349	7581	2608	3929	1858	4490	983	10148	2276	11204	1294	3093	3091	21107	1102	3760	2119	6304	2663	6729	5967	2859	551
K02420	17295	2314	6602	1528	8325	855	11838	1564	13351	1253	4965	1096	11145	3352	7581	2613	3929	1859	4496	991	10148	2276	11261	1299	3128	3091	21107	1150	3760	2121	6313	2766	6754	5967	2875	552
K02421	17295	2310	6553	1524	8325	855	11806	1562	13351	1253	4965	1096	11112	3351	7581	2607	3929	1859	4491	982	10148	2276	11251	1294	3094	3091	21107	1126	3760	2119	6307	2742	6750	5967	2869	551
K02422	15988	1580	4911	1268	6003	572	5354	1188	9135	1053	2742	706	6787	2350	4988	2336	2110	1006	2909	743	8813	1899	10448	919	2537	2662	18683	820	3495	1228	4160	1826	4075	3619	2397	322
K02423	13174	869	1123	882	2387	297	2361	473	6710	683	3908	357	815	1190	4108	450	1431	1272	446	404	4706	900	2730	179	611	1671	8337	323	1775	524	2075	648	636	1672	1341	141
K02424	5735	1293	3020	558	6858	407	8603	1545	6030	781	1067	577	11656	1529	4190	2022	2153	574	2777	849	5553	1434	9260	1214	1584	1636	14412	226	2110	1114	5229	455	5535	4055	3986	606
K02425	547	421	217	148	2031	85	1730	97	556	72	203	195	91	236	107	415	123	145	43	36	623	125	1850	34	2	357	6566	7	972	146	280	11	146	429	8	19
K02426	12589	3223	4709	2495	12801	2329	13733	1616	11003	1678	17567	1968	13863	4042	7709	2769	6738	2611	9984	4504	10672	4187	12790	1822	3890	4408	34478	809	13998	3213	7281	1930	7591	3393	5049	1327
K02427	19439	2259	5436	1562	9869	1092	10646	1336	20452	1099	9526	972	10335	3603	6286	2414	4011	2800	4220	882	10827	2894	4769	953	2349	3151	14606	954	4398	3720	5670	2363	6041	4108	2308	527
K02428	34201	5308	8887	5266	21350	4902	17290	2866	28343	3454	42106	3352	27030	7322	16611	4095	14193	6610	18384	10046	19827	8191	28595	4458	9626	8972	47801	2029	26488	7477	13629	4753	11092	4786	25451	3543
K02429	20438	3580	2462	4102	12363	5069	9416	833	15810	1862	38505	2768	9625	5923	9303	1757	13073	6342	15169	8166	12719	6250	7974	2221	5292	8040	52089	828	24154	5594	5342	1780	2337	1164	16324	2380
K02430	614	421	169	148	2031	84	1730	97	648	72	222	195	92	237	107	248	123	150	36	36	679	145	1850	28	0	357	6566	6	979	146	280	3	144	428	7	10
K02431	1993	1315	442	1133	4939	369	12275	815	1616	787	764	873	9756	1333	4696	146	1818	108	1697	1242	1174	264	5861	1074	1099	1762	11789	154	946	820	3314	339	2772	1259	14496	1277
K02433	37828	4284	10881	3714	15550	2404	22914	3112	54088	3066	29136	1877	41754	7514	15986	5352	10685	7940	11384	4834	27932	7938	25196	4435	10612	6820	20571	2774	10398	5590	14359	6522	19937	9651	24650	2953
K02434	18109	1958	5719	1696	8110	1051	9753	1514	19876	1520	9332	876	20673	3318	6827	2135	4816	2689	4818	2330	10080	2717	16149	2744	5566	2804	8074	1507	3561	3941	6960	3565	7950	3793	20420	1907
K02435	18109	1958	5847	1696	8110	1051	9762	1516	19884	1520	9332	876	20643	3318	6827	2137	4816	2691	4788	2317	10080	2717	16226	2689	5670	2806	8078	1516	3561	3941	6960	3564	8065	3793	20374	1877
K02436	136	0	39	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	7	0	0	3	0	10	1	0	0	2	0	0	0	9	0	0	1	2
K02437	36810	3962	9230	3699	16547	3396	15635	2460	30815	2498	27505	2375	21071	6859	12804	4512	10316	5385	16888	8153	22258	7570	26024	3129	6818	7079	36583	1659	16923	6464	10840	3957	11698	7770	8056	1838
K02438	3882	1796	6977	990	7763	564	15216	1547	7690	1690	1061	932	21416	3006	4658	3037	4480	781	4490	2723	5435	1356	25562	3177	4915	1492	14049	913	1993	2373	6253	2116	8565	2897	22635	2093
K02439	3816	701	2329	361	3619	204	2839	714	5730	375	1008	352	4308	1406	1995	1235	1076	500	1037	77	5423	1344	2482	302	857	1107	10315	77	1875	825	2262	110	2426	2092	273	108
K02440	5879	950	4125	1556	7954	1211	4234	1233	8760	1447	12931	747	15511	2310	5458	2249	3562	1296	7739	4793	7849	2244	15541	2214	3422	1869	13460	425	8856	1941	5054	832	5187	2378	18601	1991
K02441	3172	709	2286	366	3628	205	2914	738	1245	376	900	327	4413	1425	2027	803	1079	250	1059	98	2387	436	2632	293	1000	1049	9338	94	1312	831	2390	154	2572	2101	404	111
K02442	2988	284	1067	253	1597	287	1087	615	10354	324	4961	161	3680	263	1912	1001	958	1204	1120	31	4414	1524	362	151	768	699	3784	38	1859	204	1977	164	1883	1788	208	64
K02443	204	0	359	20	0	11	3	2	96	1	19	0	266	3	1	87	0	18	264	10	56	21	123	67	207	1	18	69	7	1	1	74	79	7	191	5
K02444	17702	1933	4935	1662	10612	1063	9362	1463	18158	1049	9980	969	9980	3303	7195	2823	4180	2705	4061	894	12219	2922	12063	1141	2098	2991	14657	577	4221	1644	6058	1533	6200	3910	2246	552
K02445	6642	722	2379	898	4245	769	2876	774	4784	546	12807	516	4359	1012	4440	1340	1275	354	2576	191	7180	2159	2695	409	1120	1202	10330	85	8369	388	2667	79	2412	494	389	436
K02446	755	430	3293	200	2037	86	1817	123	1067	72	279	196	2345	261	144	1255	126	213	1180	661	683	149	9479	612	1516	371	6582	295	1116	152	458	606	1446	448	1127	140
K02448	1822	805	329	794	2632	314	6766	804	4163	624	2226	556	3791	1368	4184	9	2358	864	1077	144	1421	395	701	221	813	1950	6256	62	239	739	3269	253	1907	711	297	146
K02450	12180	435	1637	576	298	159	513	230	4952	434	2519	160	270	1060	2446	346	738	904	273	282	3643	482	578	90	195	1324	1671	171	299	363	1300	559	192	748	577	48
K02451	12258	433	1589	576	291	159	481	230	4759	434	2523	158	237	838	2446	355	731	900	262	281	3675	480	524	75	176	1304	1667	103	299	326	1300	310	178	746	554	38
K02452	18693	1382	3662	1196	7125	762	3625	1473	23346	1086	8721	548	4931	2077	6641	1984	3556	2757	2735	596	11634	3439	1942	510	1404	2895	9359	547	3563	2501	5377	1009	2565	1500	1160	275
K02453	24670	2047	6272	2144	7635	1106	4923	1993	31721	1922	10478	737	17484	3541	10241	3604	4301	3391	5292	1148	17449	5008	3449	1136	4401	4355	12075	1175	5108	3584	7363	2737	9047	3442	3854	526
K02454	44546	3174	8127	3396	13287	1865	7548	2917	55081	2774	21975	1133	22896	6519	16213	5030	7467	6737	7637	1744	28915	8099	5003	1652	5668	7015	17711	1479	8639	6555	11388	3476	11412	6715	5051	874
K02455	24294	2041	5820	2050	7634	1086	4872	1852	31190	1782	10198	736	17334	3534	9078	3587	4208	3379	5264	1126	17192	4939	3208	1113	4134	4349	12069	980	5032	3570	6913	2270	8886	3433	3276	516
K02456	31876	2438	8576	2927	11206	1578	5771	2427	41419	2499	16349	810	29204	4309	13746	4681	4989	4522	7532	1186	19936	6144	4976	1577	6995	4810	12203	1480	7200	5428	8810	3316	14643	6965	4520	702
K02457	18861	1625	3987	1430	4007	662	4015	1520	20968	1418	4534	656	12805	2931	6704	2558	3588	2109	3921	1070	14922	3854	2080	832	3024	3858	11897	628	2845	1751	5730	1184	6727	1515	1872	421
K02458	21756	2020	4952	1746	7600	1010	4707	1532	29299	1465	9578	733	13251	3474	6725	3131	4003	3205	4516	1102	16428	4645	2659	877	3134	4312	12050	701	4531	3525	5813	1325	6903	1772	1961	453
K02459	21426	2020	4820	1747	7600	1010	4707	1532	29851	1465	9620	734	13268	3474	6725	3082	4000	3339	4524	1083	16541	4697	2633	873	3130	4312	12050	714	4782	3525	5813	1340	6719	1772	1946	448
K02460	22839	2008	4905	1796	7606	1114	4871	1581	33204	1482	11786	733	13295	3791	7942	3094	4558	3999	4517	1091	17755	5005	2789	888	3155	4454	12010	723	4721	3674	6297	1352	6781	1897	1942	476
K02461	21426	2001	4701	1746	7582	1001	4707	1532	29299	1465	9578	727	13217	3474	6725	2827	3999	3201	4506	1082	16428	4645	2661	872	3129	4298	11996	690	4531	3525	5813	1230	6707	1737	1875	447
K02462	21562	2000	4689	1812	7575	976	4705	1532	29011	1465	10239	726	13609	4037	6725	2827	3992	3182	4561	1082	17981	4827	2554	897	3119	4468	11996	660	4761	3601	5810	1073	6858	1736	1825	465
K02463	17122	829	3318	1059	3967	750	1513	257	19134	587	9308	260	5695	2267	2878	1782	1659	2545	2348	590	10071	2670	1749	457	1425	2007	2849	499	3253	2248	1446	812	2809	1453	1480	282
K02464	340	0	57	0	0	2	0	0	96	0	19	0	1	1	0	169	0	15	18	0	56	21	0	6	0	0	0	8	7	0	0	11	1	0	2	11
K02465	340	0	43	0	0	0	0	0	96	0	19	0	1	1	0	95	0	15	14	0	56	21	0	6	0	0	0	2	7	0	0	8	1	0	2	3
K02466	750	421	57	148	2031	83	1730	97	96	72	177	195	1	238	107	169	122	15	50	2	566	94	9	10	5	357	6566	4	728	146	273	10	1	434	3	12
K02467	750	421	56	148	2031	83	1730	97	96	72	180	195	1	237	107	168	122	15	19	2	566	94	0	10	2	357	6566	2	728	146	275	10	3	428	3	12
K02468	750	421	60	148	2031	83	1730	97	96	72	177	195	1	237	107	169	122	15	19	2	566	94	0	10	2	357	6566	2	728	146	273	10	3	428	3	12
K02469	26826	3660	8800	3484	14828	2982	13589	1950	25045	2420	25880	2099	31532	5404	10738	3641	8679	4761	12339	7536	15329	5544	31680	4498	8991	5828	29852	1778	15577	5524	9283	4222	10559	4521	38550	3930
K02470	26690	3659	8588	3483	14828	2982	13552	1948	25037	2420	25880	2098	31430	5402	10736	3553	8676	4758	12239	7456	15329	5544	31536	4496	8480	5826	29845	1717	15577	5524	9283	4150	10398	4521	38573	3931
K02471	4866	1002	2116	376	4625	356	6369	969	15175	476	1938	415	6455	1432	2860	1590	1879	1094	1890	352	11027	3274	974	533	1579	1030	7713	501	2577	938	3850	1070	3586	2607	1344	322
K02472	757	754	1761	800	6994	278	3243	860	2107	616	277	337	5990	691	2203	888	1547	314	756	577	808	236	9211	971	1105	958	9422	336	1158	346	2894	420	1662	515	6012	589
K02473	7909	532	297	1215	1304	1868	1486	251	3819	456	12731	633	903	1681	4152	101	3565	1644	1822	110	3374	1411	553	218	453	2649	15199	110	7360	2472	1198	259	183	1792	378	386
K02474	10896	1732	1141	2073	5307	2246	3337	629	6926	1090	17025	1250	2588	2626	6398	654	5266	2310	6951	3628	5206	2947	1221	871	1859	3389	18134	579	11457	3698	3581	1418	1050	2031	1993	787
K02475	5	0	2508	2	0	1	8	1	210	1	75	0	2849	2	0	979	0	60	1049	594	4	4	12937	723	603	1	17	46	152	1	5	93	864	7	3252	339
K02476	5	1	2832	3	3	2	18	7	224	2	76	0	3145	2	9	1006	0	59	1118	748	5	4	13244	776	956	3	18	79	152	1	13	116	1250	11	3409	358
K02477	14561	3275	4878	4023	11312	3042	11613	1669	7646	2775	29515	2283	4295	5337	11877	2290	10761	2988	10102	4458	8971	4279	4870	2469	3493	3821	28350	1195	20035	5916	9874	3139	2807	1396	2600	1533
K02478	1514	849	3909	384	4067	192	3496	321	1478	417	455	391	2143	478	405	1717	295	269	1251	423	1256	244	8975	633	777	714	13142	106	1850	292	1049	202	2055	874	635	185
K02479	372	23	165	24	18	193	0	0	199	6	13	7	319	2	7	36	0	38	453	190	53	13	266	112	313	15	56	77	9	1	55	258	166	35	319	48
K02480	639	26	1188	118	57	82	209	143	494	140	304	12	734	19	1230	468	265	22	546	183	257	72	6525	198	648	33	259	142	174	12	456	506	361	59	1178	76
K02481	625	726	575	1179	1904	122	1737	682	214	553	17	290	650	1334	2005	86	1077	60	220	275	106	36	915	110	602	1711	4444	389	22	437	2644	1100	481	267	942	25
K02482	53	2	1369	18	0	1	0	2	105	1	0	1	176	22	0	268	0	23	240	8	17	1	266	45	180	11	4	108	4	11	2	188	164	1	328	5
K02483	79393	6440	14684	5051	21474	2944	26899	5319	53892	4882	20944	2494	49925	9124	27475	6572	12864	6636	15374	6154	35250	8555	35550	5678	11328	8585	27466	3604	8853	7458	22621	7816	24445	12763	31139	3764
K02484	17290	1114	5496	1910	3443	791	2633	1909	20252	2001	9671	509	26179	1879	11067	3285	3858	2589	4302	3134	9408	2556	25100	3197	5265	2076	6518	883	3481	1138	7234	1612	9170	3220	25624	2355
