function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K12427	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12428	0	0	0.75	1	78.65	0	0	0	3	0	0	0	59	1	298	0	20.92	1	227.8	1	0	1	0	1	1.5	1	0	1	0	0	7.67	1
K12429	0	0	0	0	64.5	0	0	0	0	0	0	0	90	0	592	0	40.5	1	42.5	0	0	2	0	0	0	0	0	0	0	0	0	1
K12431	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12432	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12433	0	0	0	0	20	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12434	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12436	0	0	0	0	11	0	0	0	0	0	0	0	47.33	0	988	0	234	13	54	0	0	1	0	0	0	0	0	0	0	0	0	0
K12437	0	0	0.75	1	104.65	0	0	0	3	0	0	0	61	1	298	0	21.67	1	229.55	1	0	1	0	1	1.5	1	0	1	0	0	7.67	1
K12440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	37.5	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
K12444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
