function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K00001	24799.28	218	25435.81	288	7575.99	72	6727.08	69	12925.11	196	9426.71	96	16600.05	178	11705.09	102	18654.16	158	2824.18	216	6918.16	95	28412.48	254	5025.99	58	13667.01	123	9943.13	107	5991.46	68
K00002	0	1	9	0	1	0	0	0	295	0	0	0	9	0	0	0	0	0	0	1	6	1	0	0	0	1	2	1	0	0	0	1
K00003	11933.22	94	10321.21	258	5500.74	94	8178.2	96	13412.61	239	34710.33	64	13117.88	184	16802.87	167	17301.36	166	5860.85	217	8046.55	171	21689.3	183	6345.54	88	10586.51	154	10525.63	111	9911.44	172
K00004	4817.77	38	2518.41	68	2238.75	54	4973.65	43	4911.35	170	2355.5	27	5042.5	114	2943.78	31	7918.33	39	1910.35	53	3796.72	15	5052.99	120	3030.79	41	3439	63	2142	46	4196.45	22
K00005	5790	58	8204.96	8	2148.83	16	2392.85	24	2410.7	4	1635.97	25	5495.07	7	752.5	12	4035.58	13	522.25	42	1789.29	10	6998.39	32	3307.12	26	115.34	17	383.75	37	951.59	15
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0
K00007	2139.5	3	354	9	292.88	12	170	15	2236.5	1	913.38	8	1765.95	8	204.33	3	1867.25	4	31.5	58	367	14	2839.5	14	493.5	11	963.5	19	293.67	3	510.5	7
K00008	28.17	1	101.5	66	2748.87	3	110	6	1429.62	12	1118	2	9329.5	20	3306.83	34	19845.58	72	3508.85	4	65.33	28	902.27	2	264.67	10	2189	10	2324.99	1	348.06	25
K00009	2104	21	1749.83	13	2352.67	5	505.9	4	776.57	3	616.38	10	4675.4	6	1433.83	7	8312.43	19	416.85	18	285.25	4	2610.67	11	1451	7	937.67	5	319.04	16	172.83	5
K00010	5954.96	65	17998.34	124	4764.51	20	7440.21	59	4495.4	28	4517.51	34	17880.31	35	7629.86	109	31980.08	103	2990.42	77	5220.85	26	6223.44	69	6722.75	25	3498.17	37	4315.8	45	4504.42	62
K00011	0	0	0	0	17	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00012	20535.05	187	15265.54	372	9577.42	163	8890.7	109	19363.14	310	22472.42	120	24050.32	257	26527.2	181	14830.17	170	6896.1	314	8866.64	190	28200.8	419	14720.54	109	19927.52	189	17143.35	182	12458.38	159
K00013	18170.48	149	13405.45	242	7001.16	148	8855.94	108	16785.25	258	26556.84	105	16007.7	214	25387.45	154	13143.35	120	5723.26	291	8534.22	191	25658.3	336	11682.8	106	14825.01	169	12734.55	145	11923.94	170
K00014	26965.3	221	23034.56	414	11884.83	191	16983.96	164	23233.88	333	35904.09	144	30674.93	278	37182.11	285	38992.41	252	9514.52	454	14316.34	231	49307.47	393	18509.42	163	23178.53	235	21270.81	198	15895.88	246
K00015	3788	29	10930.5	3	792.89	9	1790.67	10	1089.5	1	58	24	382.83	3	1803.5	1	1123.84	28	997.17	15	1807.67	55	4233.2	79	617.5	9	4.17	19	13.67	34	1330.97	2
K00016	49	1	210.91	5	799.82	2	668	14	715.52	1	208.38	1	1407.44	1	11157.17	1	12097.78	91	2794.57	1	567.5	16	33.34	1	340.5	15	54.34	10	114.92	1	309.63	2
K00018	3846.48	26	7519.2	126	3609.99	23	4582.77	38	4204.65	55	5349.96	16	7956.29	46	845.45	49	1159.9	19	1541.86	50	3364.8	32	10478.7	100	5336.63	22	6054.67	25	5456.04	36	2898.47	34
K00019	11029.44	66	10625.36	188	4515.43	52	6327.74	53	6563.78	98	17244.96	49	9866.5	98	7575.53	91	9706.81	73	3417.16	140	5217.18	101	21050.52	169	5439.97	47	8246.51	73	8060.13	88	5929.08	89
K00020	30201.92	249	25470.49	535	13038.86	192	19117.42	160	21804.61	454	42794.92	144	27226.08	373	46239.93	281	28116.46	191	7311.82	377	16375.86	261	48317.69	476	12380.33	140	24830.19	265	20587.06	226	17453.57	230
K00021	2	0	0.75	3	98.17	0	3	0	13	0	0	0	13.83	1	558	0	50.92	1	87.16	1	2	2	0	1	0	1	0	0	0	0	0	1
K00023	5873.41	28	7093.09	76	2328.5	28	3343.76	35	4731.74	38	14100.5	28	4647.16	46	4623.16	43	2084.33	27	1713.99	81	3364.5	98	7785.43	87	1565.67	22	2874	48	3088.25	43	4488.33	59
K00024	16836.5	133	12348.63	194	6216.02	144	6607.32	106	17175.34	250	23757.76	97	11410.33	208	28589.25	106	12607.53	134	5645.14	254	7243.37	185	18151.6	327	9724.42	104	13035.34	160	9801.26	130	11030.94	147
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K00027	6086.38	77	4259.83	99	6871.02	27	1699.27	24	4088.66	62	4221.26	24	12500.15	52	3796.25	43	11195.36	69	2705.69	67	1148.87	43	7799.29	85	3590.5	32	5253.67	38	2940.96	48	976.45	37
K00029	22433.39	172	19425.79	296	6475.94	167	10894.54	123	20305.91	292	39073.84	127	13343	252	24364.2	192	6071.99	93	4390.44	365	10759.47	195	31789.95	415	13049.84	112	16921.85	193	15106.1	175	14859.36	219
K00030	19.88	1	66.12	7	1662.11	1	44.62	1	49.12	1	586.88	1	2907.13	2	1079.75	1	742.27	5	485.53	1	28.25	21	47.5	7	14.88	1	377.5	2	363.25	1	38	3
K00031	28409.7	251	19841.74	442	9455.93	223	14952.47	168	26667.87	470	49544.3	153	21858.52	378	28263.73	275	14677.26	144	7787.29	449	13524.02	231	45893	452	18616.34	168	23724.85	274	21294.22	225	18559.41	292
K00032	1403.72	16	1083.08	55	689.15	7	3779.28	22	1239.02	4	2823.08	8	2581.75	7	127.45	35	410.57	8	809.12	29	2426.35	2	7487.08	10	2184.75	17	2147.17	20	3217.5	15	1892.35	20
K00033	11842.98	98	10440.23	91	4858.62	39	7374.59	83	7607.24	56	8016.34	58	13571.18	63	48041.2	83	29109.77	202	6144.43	99	6469.1	109	16988.14	97	8929.88	73	5028.18	77	4971.26	69	4819.67	69
K00034	7124.6	53	2952.53	69	1224.85	63	3796.47	41	3979.41	48	5756.25	52	3992.91	51	16283.62	62	734	38	2393.18	157	3120.02	30	4432.87	162	6903.5	35	5853.34	49	5803.63	54	4674.6	58
K00035	1628	17	5203	2	598.2	6	1149.67	8	827	7	2123	6	363	5	1198.42	17	659.5	21	416	11	1068	14	1756.6	13	480	8	22.67	9	42.67	5	631.07	7
K00036	17158.7	123	13366.48	182	6954.24	62	11569.87	105	11441.45	89	23026.42	88	18531.57	93	43783.65	166	31335.02	187	7349.06	212	9970.62	181	35163.55	168	11410.13	96	8293.18	126	9748.8	116	8479.52	139
K00038	62	1	309	4	795	2	636	14	357	1	4	1	2020.66	1	3112	0	6925.17	51	637.67	1	497.09	11	32	2	259.5	14	3	9	15	1	286	1
K00039	3708	20	5173	4	189.88	7	1016.67	16	2259	1	913.38	13	531.12	6	666.67	2	67	6	41.5	61	1125	12	4572	25	543	10	74.17	17	168.67	7	818.67	7
K00040	7980.5	61	8880.83	13	1566.38	26	2139.67	27	4017.67	5	1882.38	33	7256.03	14	2913.08	13	10829.25	48	776	97	1905.5	16	9859.17	48	3670	25	986.34	30	303.01	39	1393.67	21
K00041	10693.12	92	6962.21	25	489.25	58	3536.88	59	8051.29	169	6415.38	64	3190.82	136	3078.33	60	2341.16	29	1293.04	82	3819.25	23	9889.15	97	9917.75	44	2397.67	67	1674.84	67	5303.15	57
K00042	12482.56	88	13619.74	92	4235.36	56	7792.28	73	8133.76	29	15370.34	43	10393.03	52	7975.86	68	22497.4	103	2849.2	167	6271.68	89	22554	77	5805.72	53	3690.17	77	4415	46	5609.06	76
K00043	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1.33	0	4.75	1	15.75	0	0	3	0	0	0	0	0	0	0	0	0	0
K00045	3392.72	35	6382.83	58	1494.5	14	5117.28	27	2469.02	11	3454.08	22	3095.25	12	3360.45	50	1666.65	52	1630.59	46	3691.35	22	9833.68	73	2679.75	23	2147.17	27	3224.5	34	2351.75	26
K00046	17031.27	142	26047.86	70	1956.82	67	8251.9	76	9514.1	78	25647.5	82	4548.71	88	9266.86	89	9751.07	82	2045.59	160	7791.26	77	16943.14	188	11536.67	47	3974.67	84	3299.92	94	6511.33	129
K00048	2104	21	1735.83	1	38.38	5	483.5	4	1767.31	2	613.88	10	55.16	3	4414	6	5649.33	32	966.25	18	275	1	2606.67	11	1438.5	6	44.17	4	89.96	16	156.5	5
K00050	7598.39	52	7128.91	115	1762.81	37	6447.95	50	5239.52	37	15003.46	36	3255.92	44	3097.28	72	1243.91	35	1528.37	108	5617.68	76	15870.45	94	3761.92	39	4817.34	69	5552.84	57	5164.65	68
K00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00052	20074.27	165	13968.91	232	6938.91	112	9865.32	112	16663.63	263	27486.84	97	15431.25	219	26078.86	167	13093.68	124	5024.3	211	9656.3	188	27424.47	230	11403.59	101	11574.51	172	10111.55	134	11017.77	161
K00053	18945.1	151	14040.33	226	6920.49	104	9011.32	106	15642.63	259	24380.84	92	16003.92	216	25435.7	154	13101.68	123	5020.55	204	8709.97	182	25935.8	227	10409.92	97	11105.51	166	9777.55	122	10308.44	144
K00054	8165	45	2157.33	45	558.27	62	885	31	5657.01	54	7202	51	608.83	68	20458	31	6148.27	40	2240.26	184	1501.08	19	7833.67	152	3146.5	35	6432.67	50	4911.96	44	4158.73	65
K00055	231.5	34	327.38	17	1335.88	7	139.25	2	1117.89	1	789.38	1	3983.12	4	1720	3	12483.5	21	555.25	10	111.79	10	224.12	2	525.62	6	464.5	22	520.29	2	68.12	3
K00057	18458.1	149	13522.99	248	7708.91	151	8987.32	111	17234.47	259	26827.84	105	16464.91	215	30822.2	154	18918.1	153	6744.55	292	8661.97	195	26589.14	346	12091.92	108	15246.85	170	13123.89	149	12077.44	172
K00058	41916.21	308	26036.35	539	12093.19	383	18860.39	248	38197.13	683	67550.48	265	32331.35	562	66228.88	389	26103.09	245	10601.78	727	19047.23	339	51514.48	820	25233.93	242	34260.85	382	30704.39	323	28661.9	453
K00059	89788.8	696	85866.96	1401	36346.41	599	58870.6	600	71396.88	1091	122645.96	462	96240.81	951	121358.5	853	90818.24	697	28347.66	1393	51358.32	868	123807.64	1428	64924.68	487	74055.57	778	68734.45	600	54111.63	833
K00060	3210.05	23	2686.12	25	2425.67	7	717.12	9	1224.12	13	1690.76	11	6975.69	23	3595.41	10	8851	36	827.96	21	549.75	30	4299.17	18	1845.05	11	1842	13	953.92	17	783.83	15
K00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00064	8703.12	80	10960.38	84	1294.03	125	3921.38	52	9116.86	284	8785	66	4589.61	207	21830.25	87	1846.67	77	931.28	136	3687.75	23	8112.36	169	2868.38	60	5976	106	6357	42	9459.4	76
K00065	6519	65	9347.5	22	1939.93	47	2984	30	5521.5	130	3780.76	38	2894.61	94	4850.16	48	1767.25	58	1750.75	55	2895.42	38	8400.5	51	3939.5	37	2308	51	945.34	52	3445.83	37
K00066	1399.6	16	1078.2	50	966.15	8	3089.4	16	1105.4	8	3116.08	8	2871.75	7	199.78	48	448.07	15	891	38	1986.6	4	14189.2	10	2116	23	2121.67	19	3147	15	1179.6	25
K00067	17852.49	155	18115.86	222	6824.28	173	12138.28	138	20835.28	333	28140.04	115	15229.19	257	24690.9	198	7103.64	130	6616.87	308	10946.12	197	29530.62	364	15386.42	131	12485.51	206	14167.71	150	14852.68	192
K00068	4208	41	3460.33	1	66.58	9	967.4	8	1490.29	4	1160.38	20	847.95	6	24	11	13.93	1	78.85	36	545.75	1	5212.67	22	2872.5	12	42.17	6	88.54	32	313	14
K00073	173	6	4678	1	105.4	1	157.8	1	21.4	0	136	5	486	1	365	0	33.2	4	152.2	2	85	2	379	10	0	1	0	1	0	4	46	6
K00074	33171.76	222	20353.77	298	8400.41	212	15972.84	160	21344.22	254	28421.83	180	17318.73	245	46341.52	139	30809.82	164	8518	588	14006.26	219	49443.64	475	21223.21	140	21965.19	206	17684.51	235	17119.14	195
K00075	18214.1	149	13433.99	244	7521.91	148	8975.32	108	16890.8	259	26819.84	105	16380.91	215	29453.2	154	18777.93	152	6661.8	291	8658.97	186	25637.47	336	11745.92	107	15159.18	169	12944.22	145	11948.44	171
K00076	494.17	4	546.71	34	249.5	8	374.59	4	1300.25	10	3700	10	99	20	850.67	5	218.33	4	453.25	13	380.12	17	1669.29	54	737.79	6	2564.34	7	1049.34	17	532.79	8
K00077	25705.62	211	14540.16	279	7084.97	97	17105.52	146	17338.69	159	14721.55	103	17997.79	175	26334.04	164	14688.01	126	5162.63	387	13891.65	133	40698.98	198	15025.22	120	13503.18	196	13016.84	125	11947.62	97
K00082	0	0	0	0	255.5	0	0	0	0	0	165	0	320.5	0	1068.5	0	557.5	17	413.25	0	0	5	0	0	0	0	0	0	0	0	0	1
K00086	4208	41	3459	1	15.88	9	967	8	1474	4	1024.38	20	15.12	6	18	11	2	1	17.25	36	545	1	5212	22	2867	12	40.5	6	86	32	313	9
K00087	0	0	0	2	366.25	1	0	0	49	0	138.5	0	2685.46	1	11	1	126	1	4.5	0	0	1	0	1	0	0	1.5	1	94.25	0	0	6
K00088	18332.1	149	13599.41	255	9427.56	151	10385.32	135	18374.55	260	26829.84	105	20364.24	216	40608.2	154	38579.44	259	9468.77	292	9780.97	210	25672.47	336	12265.42	134	15167.18	187	12989.22	145	12544.11	172
K00090	7977.22	79	4603.79	201	2508.03	49	5173.03	47	7360.77	96	19193.96	38	9119.12	89	3101.78	109	3204.32	23	1395.37	149	4032.3	39	16877.7	145	5257.54	46	9503.84	77	8205.34	74	4392.97	95
K00091	4385.66	46	1329.88	136	1585.94	62	606.25	32	7076.25	171	6035	27	5067.94	123	1992.59	69	1665.1	13	934	115	1000.12	34	6411.78	111	2307.12	35	5912.34	71	5311.34	31	3722.46	50
K00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00094	0	0	0	0	39	0	0	0	0	0	136	0	466	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	6
K00096	0	0	0	0	779.5	0	0	0	85.5	1	0	0	1821	1	257	0	6207.5	7	208	0	2	2	0	0	3	0	0	1	0	0	0	1
K00097	19798.94	166	18443.24	262	6306.66	154	9293.32	102	17857.29	290	29348.43	110	15187.91	253	23996.19	191	8093.41	111	4615.91	310	9134.89	187	29122.64	347	12237.76	101	16318.18	171	13805.26	149	12767.2	187
K00098	5232	37	10078	4	993.7	18	1748	18	2457	1	574	17	3479.83	6	4174	1	8771.67	55	366.42	62	1844	14	6296.6	36	670	13	31	21	79	12	1222.4	2
K00099	12157.1	108	11619.33	214	7185.44	87	8030.65	87	13449.79	215	20772.84	62	15918.25	167	9397.53	126	12935.66	106	4677.79	164	7311.22	175	21436.2	197	8953.42	80	9615.84	132	8666.59	104	8208.64	112
K00100	19022.49	218	15422.64	407	5941.62	144	7396.82	87	20897.82	385	28049.33	74	13697.51	295	20607.34	183	4396.86	65	2949.95	270	7388.53	147	44663.31	435	5114.79	109	20426.52	188	13529.64	131	9067.84	148
K00101	19416.63	115	15364.75	362	5892.29	74	5432.3	76	10351.87	220	40317.51	78	18546.5	213	14789.65	205	17876	129	5381.54	196	6042.7	98	31889.71	186	4935.88	67	15321.17	105	14191.84	94	7469.33	210
K00102	5660.29	43	15172.71	104	1185.2	28	3079.55	30	3638.62	36	12953	24	2990.16	41	3924	69	1093.58	25	777.37	77	3066.08	58	7940.15	48	1242.42	17	2526.17	35	3981.17	25	3462.15	68
K00103	0	0	0	0	158.5	0	0	0	0	0	0	0	143	0	314	0	317	2	226.5	0	0	6	0	0	0	0	0	0	0	0	0	0
K00104	6484.39	43	7405.08	104	3394.82	38	6708.95	45	5878.02	65	15965.08	35	3815.3	56	11441.12	69	9998	91	3241.95	122	6204.18	145	14654.85	95	3676.92	34	4309.84	69	5172.17	66	5813.25	60
K00105	0	0	1.33	1	3.17	1	0	1	10.81	1	0	0	1	0	0	1	10.33	0	1.33	0	3	1	0.67	1	11	1	1.67	1	1.96	1	2	1
K00106	0	3	52	1	63	1	31	0	0	0	0	1	6	0	0	0	0	1	18.5	0	79	1	0	1	0	0	0	0	0	6	0	0
K00107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
K00108	13934.64	106	15476.51	277	6025.06	73	15024.61	103	9918.88	117	26946.11	63	15701.05	128	22345.92	144	13616.57	97	4950.8	188	11383.22	132	30194	240	11630.1	78	13449.03	115	12472.68	112	9467.5	124
K00109	0	0	0	0	32.5	0	0	0	0	0	0	0	42	0	0	0	74.5	1	88	0	0	3	0	0	0	0	0	0	0	0	0	0
K00111	17009.94	150	15188.62	244	9663.01	118	13864.05	141	17402.17	227	27719.72	94	20888.62	188	28458.4	154	23886.83	165	5378.58	292	11469.74	167	27254.46	261	14216.92	110	11642.68	178	10094.14	155	12322.94	156
K00112	2104	21	1730.5	9	1532.38	5	483.5	4	812.65	3	754.88	10	3232.33	6	31.33	7	162.67	2	8.83	18	274.5	2	2606	11	1433.5	6	935.5	5	405.17	16	156.5	10
K00113	2104	21	1730.5	8	1327.96	5	483.5	4	812.65	3	752.38	10	2132.58	6	23.33	7	180.34	2	9.33	18	274.5	3	2606	11	1433.5	6	934	5	310.92	16	156.5	10
K00114	174.62	1	360.38	10	601.66	4	908.88	14	863.62	3	699.33	2	266.16	4	429.5	3	953.17	27	1938.12	2	675.75	37	349.38	4	316.75	12	1410.67	10	1393.5	1	982.75	3
K00116	13555.99	105	7585.86	221	4731.45	124	9570.98	97	10991.32	244	16283.42	85	14312.44	197	22565.23	164	12261.59	102	4346.29	239	7648.45	40	39595.95	253	12221.92	110	13972.84	122	13573.5	116	10233.44	139
K00117	6958.84	74	9733.84	156	2771.89	34	6521.41	61	6260.89	72	7666.46	17	8377.04	62	2235.95	85	5134.4	36	1919.33	76	5286.22	49	12703.18	113	8588.12	33	7588.67	52	6381	38	4586.62	52
K00118	456	2	922.5	1	123.16	2	352	11	789.5	0	1	1	1592.67	1	6.5	0	61.5	4	171.34	2	459	10	80	17	2731.5	3	1.5	1	0	2	293.5	1
K00121	11899.34	104	11453	342	6915.75	65	8514.08	66	10639.8	199	23929.67	66	17489.66	171	8110.28	141	6639.57	54	3983.4	171	6954.56	155	23739.73	274	6520.42	59	16962.85	99	12552.93	119	7098.54	127
K00122	2263.5	4	479	42	742.03	17	466.8	16	2491.9	23	1822	9	103.97	18	136.33	15	575.87	5	484.7	66	866.33	15	3064.5	16	604.5	12	1207	25	1718	12	1562.83	4
K00123	21215.23	167	18338.07	158	9078.3	79	8949.68	82	12544.72	88	32405.69	102	18629.82	110	8977.76	115	27485.26	81	3205.32	279	7334.93	154	48441.69	176	13461.76	96	9622.34	116	8356.26	164	7814.57	159
K00124	8377.56	62	8984.74	87	3619.16	38	6053.78	47	5815.02	46	15607.05	44	5775.99	58	3156.77	49	9594.57	33	1414.25	122	5061.35	88	24745.92	105	5328.59	45	5972.34	68	5554.42	73	5116.51	65
K00125	0	0	0	0	2	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
K00126	3341.77	36	6516.53	17	517.98	13	4284.4	18	1522.9	10	654.08	20	163.58	16	825.78	3	521.65	9	517.75	33	3196.77	30	10492.87	72	2858.17	15	1894.17	21	1679	35	1805.43	4
K00127	8346.39	61	8905.91	71	3061.1	37	6054.78	45	5490.02	37	15271.05	44	3956.82	44	4641.44	47	3696.07	43	1151.28	122	5032.35	80	23877.25	105	5070.92	44	4123.34	65	3875.42	73	4815.18	63
K00128	39417.54	286	40182.41	612	14602.75	360	25360.43	251	38163.81	535	68008.64	262	40663.7	437	56259.36	392	55069.04	344	13643.94	877	23201.07	374	60642.3	894	26779.77	237	36500.71	374	33549.14	361	28991.54	444
K00129	0	0	0	1	27.5	1	7	1	0	0	0	0	6	1	6	0	17	1	18	0	2	1	0	0	0	0	0	1	0	0	0	0
K00130	12887.45	118	12045	199	5625.78	51	15070.79	73	5600.92	72	11580.95	57	14466.48	71	8232.37	104	18119.39	92	4741.53	156	10245.23	71	26430.57	166	10826.55	59	10424.85	85	9327.34	110	6417.63	71
K00131	2178.6	22	1852.2	60	863.97	11	3509	20	1692.4	6	5894.16	13	3055.33	7	192.7	46	520.57	9	811.75	38	2556.1	12	8116.2	13	2915	20	2989.34	25	3604	27	1747	41
K00132	0	0	0	0	0	1	0	0	2.14	0	0	0	4	0	0	0	6	0	7	0	0.5	1	0	0	0	0	0	1	0.29	0	0	1
K00133	18238.48	149	13473.28	247	9176.54	148	8987.94	108	17052.92	259	27025.72	105	18449.9	216	29963.7	154	19238.68	158	6994.92	291	8665.22	209	25644.97	336	11746.3	107	15218.18	170	13124.47	145	11952.44	172
K00134	29106.41	265	21958.94	415	12593.24	245	15670.49	169	28608.82	455	44712.94	175	28672.34	358	37725.23	283	29712.85	241	9615.07	424	13947.19	261	53168.17	581	20691.05	179	23176.19	272	20399.1	284	18217.58	304
K00135	31404.47	244	30177.52	542	15606.12	220	20258.01	194	24320.72	452	43291.89	150	35655.12	374	38930.18	284	40940.77	279	13585.76	499	17400.97	270	45170.67	449	15529.34	179	30563.69	279	24773.73	197	18836.99	263
K00137	4903.2	53	3885.9	102	2231.63	17	6643.3	34	2215.8	5	5784.04	26	9487.62	9	883.9	69	6936.06	32	1827.92	75	4231.7	8	17573	30	5668.5	38	4285.34	40	6474.25	46	2518.1	50
K00138	16566.93	143	11935.33	241	5849.81	146	7672.32	92	14167.89	249	26669.92	97	13873.07	197	23493.29	146	13170.17	90	4463.04	280	7042.8	84	23885.63	315	8138.75	102	18973.68	160	17641.59	132	10960.88	167
K00140	16540.95	102	14123.08	568	13168.98	96	17135.64	154	15290.17	292	39318.63	74	32321.19	240	25680.26	313	26069.31	142	6435.69	303	13162.58	148	35562.39	220	13740.92	106	22711.68	153	21784.34	133	13138.07	245
K00141	4560.34	40	1152.04	125	1047	17	694.25	37	6507.25	50	14579	18	4332.5	59	2921.91	87	877.41	36	1166.5	145	1340.79	17	7595.96	31	1965.46	32	3491	66	4771	16	2597.28	77
K00145	21691.7	167	14755.53	247	7221.86	156	12097.32	135	19701.83	259	27396.84	119	16445.41	220	26078.65	155	13456.24	133	5828.54	373	10881.57	193	35921	357	14292.92	125	15203.51	198	13019.55	162	13501.04	173
K00146	2861.2	32	2252.4	101	2364.06	14	6186.8	31	1158.8	3	2864.75	16	8406.28	7	2622.9	63	7459.98	46	2010.17	58	3962.53	13	14992.4	19	4235	27	3387.01	32	5281	30	2363.2	46
K00147	12917.1	112	12374.66	222	6953.41	94	8216.92	97	14597.95	219	25671.05	67	15327.83	172	14171.2	141	18664.34	147	6079.12	173	7382.22	174	22088.97	201	9981.42	90	10113.85	146	9011.22	116	9048.11	136
K00148	2762.6	27	1224.2	53	1842.35	11	3751.4	17	1474.4	15	3632.08	8	5036.58	12	16476.45	64	6980.82	47	1336.75	46	2646.6	9	15511.8	11	2179	23	2121.67	20	3152	15	1455	30
K00150	0	0	25	1	77.5	1	9	1	7	1	0	1	25.5	0	13.5	0	130.5	1	389.75	0	4.67	7	0	0	3	1	0	1	3	0	4	0
K00151	3587.27	19	1512.03	55	1197.18	20	3252.07	32	2862.9	3	1611.63	16	5542.87	11	4504.95	34	7083.65	55	1324.47	87	2343.6	15	10393.37	24	2791.17	24	1744.17	36	2141.34	18	1804.1	24
K00152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00153	0	0	4.75	2	1323.15	1	2	1	10	1	2	0	3811.33	1	2059	0	13031.09	31	1094.97	1	0	8	0	1	7.5	1	0	1	7	0	7.67	1
K00154	7341.15	92	3134.86	230	4418.22	43	3713.94	38	6675.77	102	20670.62	23	8626.2	100	3908.7	104	2185.24	29	1853.12	142	3085.3	51	22521.09	144	4024.84	49	10691.35	89	9182.09	57	4158.62	97
K00156	7877	64	3948.42	101	3262.45	98	1906.5	46	7823.15	174	11258.13	66	8984.58	137	21875.08	100	11965.6	82	2671.23	160	1960.84	29	14054.1	164	4808	72	8927.5	80	8161.67	62	6103.07	103
K00158	13	1	142.33	1	145.37	1	7.4	1	14.01	1	0	1	404.66	0	11	1	130.93	3	233.59	1	3.75	2	10.67	1	12.5	1	3.67	1	3.96	1	2.33	1
K00161	12202.27	89	10725.66	114	7393.13	117	7833.92	93	9885.3	214	9042.13	83	13962.51	164	30773.45	59	30044.1	208	6404.69	179	7351.48	157	11592.96	247	9495.79	88	9191.34	120	6805.17	103	9208.55	84
K00162	12499.27	91	11074.66	114	7465.13	119	8204.92	94	10547.3	214	9042.13	92	13922.51	164	29785.45	59	29811.26	196	6340.19	184	7701.48	155	11917.96	299	9700.79	91	9191.34	123	6805.17	117	9208.55	84
K00163	10121.1	85	9480.66	389	8771.1	69	6188.65	82	10687.89	136	26234.34	46	26060.24	123	12255.78	247	25044.92	142	6021.63	240	5202.05	112	26704.2	127	5990.92	89	13058.34	119	15615.59	75	6362.64	168
K00164	18186.1	149	13355.33	244	7236.77	148	8965.72	107	14905.59	259	26819.84	105	15854.74	215	25937.7	154	13070.1	132	4926.59	290	8634.97	170	25623.3	336	11637.42	106	15155.51	168	12938.26	144	11913.37	170
K00166	3947.48	35	6895.49	52	1749.75	12	4187.09	21	1020.22	2	2509.46	13	3325.04	5	2725.04	32	2013.35	27	2033.22	31	2963.6	38	9687.3	27	2315.88	19	2127.84	23	3160.67	20	1800.5	19
K00167	4564.48	37	7035.49	52	1811.25	12	4296.09	22	1075.22	2	2542.46	18	3366.04	5	2725.04	32	2068.01	27	2134.22	36	3199.6	41	10692.3	33	2321.88	21	2127.84	33	3160.67	30	2331.5	19
K00169	6	0	0	0	9	0	0	0	121	0	0	1	76.5	0	9	0	133	1	82	1	4	8	5	1	0	0	0	0	0	1	0	1
K00170	6	0	0	0	9	0	0	0	121	0	0	1	67	0	9	0	133	1	74	1	4	7	5	1	0	0	0	0	0	1	0	1
K00171	6	0	0	0	1	0	0	0	121	0	0	1	28	0	0	0	1	1	5	1	4	2	5	1	0	0	0	0	0	1	0	1
K00172	6	0	0	0	9	0	0	0	121	0	0	1	67.5	0	9	0	133	1	79	1	4	6	5	1	0	0	0	0	0	1	0	1
K00174	191.5	2	174	1	908.2	1	575.4	1	4082.5	1	0	1	899.01	1	125	0	1657.6	8	1202.1	3	894.92	63	86.5	2	52	2	0	2	0	1	73.83	3
K00175	145.5	2	99	1	908.7	1	462.4	1	4117.5	1	0	1	897.01	1	119	0	1657.6	8	1202.1	2	771.92	63	73.5	2	52	2	0	2	0	1	73.83	3
K00176	14	1	3	1	114.17	1	2	0	1994.4	0	0	1	79.34	0	0	0	4	1	65	2	13	4	12.5	1	0	1	0	1	0	1	0	1
K00177	14	1	3	1	115.67	1	2	0	1994.4	0	0	1	79.34	0	0	0	2	1	67	2	15	5	15.5	1	0	1	0	1	0	1	0	1
K00179	248	7	4799	1	205.92	2	159	1	1829.4	0	0	5	153.84	1	405	0	58.5	5	102.25	3	151	10	464.5	11	103	3	2	1	6	5	189	1
